"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Actinomycetales",57,1,6,32,19,10,3,6,18,13,3,25,55,74,12,11,36,120,17,72,23,2,12,9,0,1,3,301,12,9,21,172,8,5,10,0,53,3,5,7,39,13
"Bacillales",2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,28,0,0,0,0,2,0,0,12,2,2,5,1,0,1,2,0,0,0,0,2,2,0
"Bacteroidales",18728,57456,55741,31506,52752,57868,62214,21731,48627,15497,22149,45674,77725,37883,72506,93089,37206,9693,18517,75527,27833,44940,40503,14560,81,37836,1024,2125,25528,30101,54365,25563,43523,48095,26949,33307,12196,50465,79962,32907,54696,25765
"Bifidobacteriales",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,93,32593,6,4065,47,2915,1192,0,19,28,513,1838,57,6,53,274
"Burkholderiales",469,18,103,131,7597,602,12,361,10130,15,68,1060,369,136,492,494,165,6,82,56,3036,419,83,253,5,34,22,2,4,1411,30,4144,34,18,23,11,62,26,45,22,1554,1850
"Caulobacterales",2,6,18,41,13,34,4,65,11,0,39,183,9,5,9,16,61,3,1,32,3,39,12,9,5,8,7,1,4,8,18,0,21,4,11,12,57,20,25,0,44,8
"Clostridiales",53102,15748,14455,37424,22900,18283,22066,51753,13863,41678,38299,34317,32252,44416,12364,5344,36311,60703,37322,20726,11051,19674,47115,22120,35,7079,22366,22091,1111,6577,8071,14977,29100,12482,343,1846,5875,41097,17984,10653,28060,12680
"Coriobacteriales",348,16,89,306,114,18,59,7,6,401,54,51,536,59,24,4,15,60,112,84,35,46,21,30,1,10,0,1719,1,115,219,690,69,10,11,3,15,4107,57,1,71,20
"Desulfovibrionales",238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0,5,16,10,4,5,0,7,0,0,0,2,48,0,6,0,64,20,8,0,3,2,0,0
"Enterobacteriales",7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103,19,903,8,0,198,1692,3,172,0,36,295,7848,5683,12,10,4837,567,51,2353,8,306,39,32
"Erysipelotrichales",521,343,1345,2259,8589,614,185,395,128,244,355,344,2667,1234,110,3053,3657,474,210,456,87,509,82,11,1,505,1,274,4,2,11,8,136,2247,20,3,206,20,121,3,303,864
"Fusobacteriales",0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,0,113,4,94,13,1970,17,0,9,0,43,0,31,0,0,0
"Gemellales",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,2,13,1,0,15,15,0,0,0,0,14,3,0,0,5,0
"Lactobacillales",831,111,482,422,461,76,172,1122,173,73,219,1072,442,126,117,45,144,242,96,673,833,227,258,231,132,29,68,10004,23,391,929,18711,39,68,991,22,623,39,39,9,1649,19
"Pasteurellales",27,0,36,6,0,22,0,10,44,0,643,20,76,13,183,28,54,55,17,71,338,271,2,2467,0,5,0,408,23,1123,9,17,151,294,5,0,6949,4,18,0,1384,132
"Pseudomonadales",2,7,21,33,20,4,5,156,5,0,17,7,4,22,11,21,9,5,1,36,13,1,3,6,6,8,19,0,0,0,2,0,10,3,2,0,12,5,22,7,16,1
"RF32",3,5503,0,0,0,0,1466,301,5714,0,0,0,2,0,1489,0,0,0,141,0,21380,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,4,0,0
"Rhizobiales",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,0,0,0,0,4,0,5,0,3,1,5,2,2,0,1,0
"Selenomonadales",2229,999,4746,6786,1314,17627,16819,10714,2070,3137,15784,12478,1360,4190,4811,30,22797,6424,6732,6045,9639,36463,14855,22241,24701,42174,762,4843,5733,48971,3813,32712,892,16871,74115,32,11289,17356,6531,1548,15486,30460
"Sphingomonadales",32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,496,178,436,207,90,79,188,221,7,14,75,200,7,325,144,147,132,422,194,317,35,569,183
"unclassified",2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,0,2,0,0,1,2,33,0,13,0,10,10,1,0,4,0,0,17,0,36,0,89,0
"Verrucomicrobiales",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"NA",413,250,213,308,271,77,199,513,285,433,62,150,166,173,109,220,298,110,191,65,212,187,143,229,126,119,47,81,119,207,142,154,321,226,57,182,101,194,226,127,136,143
