"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH011","AIH020","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH037","AIH042","AIH046","AIH072","AIH074","AIH077"
"Actinobacteria",2456,24,217,668,561,30,92,420,185,848,168,108,777,499,379,17,267,12953,8794,261,63,74,141,121,11,176,96,34613,19,4191,293,3777,1290,15,40,31,581,5976,119,19,163,308
"Bacteroidetes",18728,57456,55741,31506,52752,57868,62214,21731,48627,15497,22149,45674,77725,37883,72506,93089,37206,9693,18517,75527,27833,44940,40503,14560,81,37836,1024,2125,25528,30101,54365,25563,43523,48095,26949,33307,12196,50465,79962,32907,54696,25765
"Firmicutes",56690,17216,21055,46960,33334,36600,39263,64231,16250,45134,54675,48218,36775,49999,17425,8487,62913,67845,44362,27930,21612,56886,62316,44603,24871,49787,23199,37237,6874,55943,12844,66424,30167,31669,75471,1903,18007,58515,24675,12215,45505,44023
"Fusobacteria",0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,0,113,4,94,13,1970,17,0,9,0,43,0,31,0,0,0
"Proteobacteria",780,7525,550,1210,8322,1007,1686,3383,17932,407,1262,2983,936,533,2371,1402,881,213,412,719,25867,1193,311,3029,1787,254,441,418,81,2914,8159,9851,565,474,5094,743,7566,2604,442,376,3607,2206
"Unclassified",2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,0,2,0,0,1,2,33,0,13,0,10,10,1,0,4,0,0,17,0,36,0,89,0
"Verrucomicrobia",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,23,1,25480,0,15,3,141,2,13,57140,6,3921,8,1675,4,9123
"NA",116,240,186,257,207,77,180,294,271,289,53,150,120,142,90,220,196,110,191,65,211,187,125,217,126,110,47,81,119,205,136,154,300,226,57,182,101,166,226,122,136,142
