"","AIH","nonAIHhepControl"
"Actinobacteria",0.00969377145423148,0.0282028448208602
"Bacteroidetes",0.533590658537541,0.423066885843963
"Firmicutes",0.397070169463942,0.459447447221228
"Fusobacteria",6.8563127804684e-05,0.00123758047636087
"Proteobacteria",0.0219469818661829,0.0314539149244134
"Unclassified",0.000132605609820048,0.000117301106020291
"Verrucomicrobia",0.0355669341884386,0.0546257260696327
"NA",0.00193031575203956,0.00184829953752156
