"name";"cor";"pval";"p.adj";"species";"genus";"type";"is.sig"
"122";"OTU_18";-0.0921635512174387;0.691122403792409;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"125";"OTU_1983";0.00230247037804909;0.992096988412973;1;"s__bromii";"g__Ruminococcus";"control";""
"127";"OTU_21";0.68624298627429;0.000592692232118885;0.0246955096716202;"s__gnavus";"g__[Ruminococcus]";"control";"*"
"130";"OTU_150";-0.0280044421052802;0.904089174818137;1;"s__eutactus";"g__Coprococcus";"control";""
"135";"OTU_152";0.0497981451491464;0.830264336377498;1;"s__ruminis";"g__Lactobacillus";"control";""
"138";"OTU_5002";-0.315929065653139;0.162969071867957;1;"s__copri";"g__Prevotella";"control";""
"141";"OTU_34";-0.20016068987916;0.384334489979214;1;"s__coli";"g__Escherichia";"control";""
"142";"OTU_1839";-0.221272608752642;0.335081716289271;1;"s__copri";"g__Prevotella";"control";""
"144";"OTU_6481";-0.170980633226822;0.458671026769496;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"154";"OTU_133";0.723939081740215;0.000207220593740676;0.0115494185024792;"s__formicigenerans";"g__Dorea";"control";"*"
"157";"OTU_29";0.28623387863496;0.208431496026442;1;"s__parainfluenzae";"g__Haemophilus";"control";""
"158";"OTU_1855";-0.132526785837523;0.566873571613473;1;"s__uniformis";"g__Bacteroides";"control";""
"175";"OTU_8149";-0.220493395376984;0.336830006881719;1;"s__muciniphila";"g__Akkermansia";"control";""
"178";"OTU_332";0.107774151128325;0.641931725607202;1;"s__citroniae";"g__Clostridium";"control";""
"183";"OTU_191";0.0111605687929935;0.961705344584967;1;"s__lividum";"g__Janthinobacterium";"control";""
"184";"OTU_389";0.062343647856935;0.788344196641058;1;"s__faecis";"g__Roseburia";"control";""
"190";"OTU_5404";-0.156142760670311;0.499113166447273;1;"s__caccae";"g__Bacteroides";"control";""
"191";"OTU_1201";0.00852154603738107;0.970756177754562;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"192";"OTU_2368";0.088435419566005;0.703058674369891;1;"s__ovatus";"g__Bacteroides";"control";""
"194";"OTU_1802";-0.0859858794281526;0.710938275502792;1;"s__ruminantium";"g__Clostridium";"control";""
"195";"OTU_199";-0.220055003670454;0.337815972438035;1;"s__pullicaecorum";"g__Butyricicoccus";"control";""
"197";"OTU_1981";-0.0496919150555789;0.830621367811666;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"199";"OTU_8163";-0.0141078542433946;0.951602694118795;1;"s__uniformis";"g__Bacteroides";"control";""
"202";"OTU_26";0.077621688615797;0.738054142931828;1;"s__indistinctus";"g__Alistipes";"control";""
"205";"OTU_6495";-0.234956139673191;0.305260691548419;1;"s__ovatus";"g__Bacteroides";"control";""
"207";"OTU_2441";-0.251339752753612;0.271760513596548;1;"s__copri";"g__Prevotella";"control";""
"211";"OTU_3313";-0.072419920168652;0.755072339430863;1;"s__ovatus";"g__Bacteroides";"control";""
"214";"OTU_214";-0.255730793617316;0.263191862018626;1;"s__colinum";"g__Clostridium";"control";""
"217";"OTU_208";0.0721155254787146;0.756071677159572;1;"s__biforme";"g__[Eubacterium]";"control";""
"221";"OTU_221";0.0380904339246797;0.86979194273343;1;"s__reuteri";"g__Lactobacillus";"control";""
"228";"OTU_228";-0.0278307227237454;0.904681520338172;1;"s__indistinctus";"g__Alistipes";"control";""
"241";"OTU_244";0.0831414379486873;0.720123865036796;1;"s__formigenes";"g__Oxalobacter";"control";""
"247";"OTU_448";0.761714288653294;6.02465599088831e-05;0.0115494185024792;"s__pullicaecorum";"g__Butyricicoccus";"control";"*"
"250";"OTU_251";-0.00520546591806603;0.982133834372278;1;"s__catus";"g__Coprococcus";"control";""
"251";"OTU_253";-0.0119925586489471;0.958852828169353;1;"s__veronii";"g__Pseudomonas";"control";""
"253";"OTU_971";-0.115894338184844;0.616888279783134;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"268";"OTU_269";-0.179906589585011;0.435183625088827;1;"s__perfringens";"g__Clostridium";"control";""
"272";"OTU_270";0.0682174486409796;0.768901827352695;1;"s__anginosus";"g__Streptococcus";"control";""
"275";"OTU_1109";-0.256205686545629;0.262275542543586;1;"s__copri";"g__Prevotella";"control";""
"284";"OTU_6809";-0.109790542361933;0.635676621244322;1;"s__ovatus";"g__Bacteroides";"control";""
"288";"OTU_940";-0.0833779289179941;0.71935872596203;1;"s__bromii";"g__Ruminococcus";"control";""
"298";"OTU_1334";0.0127719836774855;0.956180971084174;1;"s__ovatus";"g__Bacteroides";"control";""
