"name";"cor";"pval";"p.adj";"species";"genus";"type";"is.sig"
"2";"OTU_16";0.322897384505299;0.153386287912042;0.995009477283672;"s__bromii";"g__Ruminococcus";"control";""
"3";"OTU_56";0.140466230816141;0.543648619142234;0.995009477283672;"s__prausnitzii";"g__Faecalibacterium";"control";""
"4";"OTU_19";0.058198727583044;0.802137936417954;0.995009477283672;"s__plebeius";"g__Bacteroides";"control";""
"6";"OTU_2787";0.166040093978201;0.471946043631953;0.995009477283672;"s__copri";"g__Prevotella";"control";""
"11";"OTU_2";-0.206498162851106;0.369141095230053;0.995009477283672;"s__copri";"g__Prevotella";"control";""
"12";"OTU_13";0.0797923232509469;0.730986879587061;0.995009477283672;"s__ovatus";"g__Bacteroides";"control";""
"18";"OTU_44";0.0120505659130531;0.958653965188525;0.995009477283672;"s__caccae";"g__Bacteroides";"control";""
"25";"OTU_55";0.34128577258112;0.130004232486575;0.995009477283672;"s__prausnitzii";"g__Faecalibacterium";"control";""
"27";"OTU_14";-0.237397153943018;0.30011670695312;0.995009477283672;"s__dispar";"g__Veillonella";"control";""
"30";"OTU_1553";0.0320479468651531;0.890316178710984;0.995009477283672;"s__copri";"g__Prevotella";"control";""
"31";"OTU_60";-0.317662813539125;0.160547052980191;0.995009477283672;"s__copri";"g__Prevotella";"control";""
"35";"OTU_63";-0.0194562176286524;0.933288938135524;0.995009477283672;"s__torques";"g__[Ruminococcus]";"control";""
"42";"OTU_69";0.0146227158255955;0.949838551736711;0.995009477283672;"s__aerofaciens";"g__Collinsella";"control";""
"43";"OTU_71";0.522291945042389;0.0151466922657841;0.995009477283672;"s__saccharogumia";"g__Clostridium";"control";""
"46";"OTU_648";-0.139188565264563;0.547356551849605;0.995009477283672;"s__callidus";"g__Ruminococcus";"control";""
"47";"OTU_75";0.34376379619519;0.12705962716955;0.995009477283672;"s__celatum";"g__Clostridium";"control";""
"53";"OTU_83";-0.138260802983544;0.550056204337936;0.995009477283672;"s__eggerthii";"g__Bacteroides";"control";""
"55";"OTU_5278";0.34584156816761;0.124627617618022;0.995009477283672;"s__hathewayi";"g__Clostridium";"control";""
"56";"OTU_85";0.165292142456426;0.473972549633736;0.995009477283672;"s__ovatus";"g__Bacteroides";"control";""
"60";"OTU_90";0.0357975593917331;0.877571268752487;0.995009477283672;"s__gnavus";"g__[Ruminococcus]";"control";""
"66";"OTU_96";0.0304900626300018;0.895619261428786;0.995009477283672;"s__stercorea";"g__Prevotella";"control";""
"76";"OTU_8";0.192523905039153;0.403101022978134;0.995009477283672;"s__muciniphila";"g__Akkermansia";"control";""
"77";"OTU_110";0.272301939640338;0.232413455260499;0.995009477283672;"s__indistinctus";"g__Alistipes";"control";""
"78";"OTU_111";-0.27444739530272;0.228608125899464;0.995009477283672;"s__obeum";"g__Blautia";"control";""
"85";"OTU_3013";-0.366146037371686;0.102592091232704;0.995009477283672;"s__copri";"g__Prevotella";"control";""
"103";"OTU_5";0.0843243886788976;0.716299156613517;0.995009477283672;"s__uniformis";"g__Bacteroides";"control";""
"104";"OTU_9";0.323707360691615;0.152298524761735;0.995009477283672;"s__prausnitzii";"g__Faecalibacterium";"control";""
"111";"OTU_943";0.101369358508079;0.66195382748991;0.995009477283672;"s__prausnitzii";"g__Faecalibacterium";"control";""
"114";"OTU_15";0.312852247834178;0.167329399049922;0.995009477283672;"s__caccae";"g__Bacteroides";"control";""
"120";"OTU_605";-0.308352287410636;0.173850402650025;0.995009477283672;"s__gordonii";"g__Parabacteroides";"control";""
"122";"OTU_18";0.0731361021633971;0.752722577740703;0.995009477283672;"s__prausnitzii";"g__Faecalibacterium";"control";""
"125";"OTU_1983";-0.0200934241943102;0.931109013961489;0.995009477283672;"s__bromii";"g__Ruminococcus";"control";""
"127";"OTU_21";0.182859657973742;0.427556082968286;0.995009477283672;"s__gnavus";"g__[Ruminococcus]";"control";""
"130";"OTU_150";0.135705943765385;0.557521438871395;0.995009477283672;"s__eutactus";"g__Coprococcus";"control";""
"135";"OTU_152";0.0665808169635305;0.774306232352705;0.995009477283672;"s__ruminis";"g__Lactobacillus";"control";""
"138";"OTU_5002";-0.300102254119111;0.186254032357248;0.995009477283672;"s__copri";"g__Prevotella";"control";""
"141";"OTU_34";-0.300254701273849;0.186019532981969;0.995009477283672;"s__coli";"g__Escherichia";"control";""
"142";"OTU_1839";-0.295725407318155;0.1930723586528;0.995009477283672;"s__copri";"g__Prevotella";"control";""
"144";"OTU_6481";0.0969336754584394;0.675952587665309;0.995009477283672;"s__prausnitzii";"g__Faecalibacterium";"control";""
"154";"OTU_133";0.454717410550387;0.0383569564523145;0.995009477283672;"s__formicigenerans";"g__Dorea";"control";""
"157";"OTU_29";-0.317271373345492;0.161091692559752;0.995009477283672;"s__parainfluenzae";"g__Haemophilus";"control";""
"158";"OTU_1855";0.0328665198979902;0.887531523847276;0.995009477283672;"s__uniformis";"g__Bacteroides";"control";""
"175";"OTU_8149";0.189946923608922;0.409545432113113;0.995009477283672;"s__muciniphila";"g__Akkermansia";"control";""
"178";"OTU_332";0.0842727500239034;0.716465978727387;0.995009477283672;"s__citroniae";"g__Clostridium";"control";""
"183";"OTU_191";-0.156051206241072;0.499367979875141;0.995009477283672;"s__lividum";"g__Janthinobacterium";"control";""
"184";"OTU_389";0.0466729061398346;0.840781206700288;0.995009477283672;"s__faecis";"g__Roseburia";"control";""
"190";"OTU_5404";0.291321948391819;0.200100066359625;0.995009477283672;"s__caccae";"g__Bacteroides";"control";""
