"name";"cor";"pval";"p.adj";"species";"genus";"type";"is.sig"
"2";"OTU_16";0.167415164172555;0.468231892554387;0.832412253430021;"s__bromii";"g__Ruminococcus";"control";""
"3";"OTU_56";0.4166531268152;0.0602566413228607;0.762587152132455;"s__prausnitzii";"g__Faecalibacterium";"control";""
"4";"OTU_19";0.364490493876342;0.104273839978462;0.762587152132455;"s__plebeius";"g__Bacteroides";"control";""
"6";"OTU_2787";0.512616028857796;0.0174965133042437;0.762587152132455;"s__copri";"g__Prevotella";"control";""
"11";"OTU_2";-0.105283181109347;0.64969133713156;0.916650922915073;"s__copri";"g__Prevotella";"control";""
"12";"OTU_13";-0.261592099571624;0.252024072409747;0.775297479936467;"s__ovatus";"g__Bacteroides";"control";""
"18";"OTU_44";-0.14328264185392;0.535515867283922;0.883981921220004;"s__caccae";"g__Bacteroides";"control";""
"25";"OTU_55";0.160107192161194;0.48814058262344;0.845875377831231;"s__prausnitzii";"g__Faecalibacterium";"control";""
"27";"OTU_14";0.0375590091113223;0.871593970935446;0.979777765922749;"s__dispar";"g__Veillonella";"control";""
"30";"OTU_1553";0.467573199480274;0.0325719484888394;0.762587152132455;"s__copri";"g__Prevotella";"control";""
"31";"OTU_60";0.398682810108548;0.0734226478021269;0.762587152132455;"s__copri";"g__Prevotella";"control";""
"35";"OTU_63";-0.199241853265699;0.386566046402343;0.812609941975519;"s__torques";"g__[Ruminococcus]";"control";""
"42";"OTU_69";-0.17967980246885;0.435772363168617;0.820277389493868;"s__aerofaciens";"g__Collinsella";"control";""
"43";"OTU_71";0.190380604407711;0.408456981688253;0.812609941975519;"s__saccharogumia";"g__Clostridium";"control";""
"46";"OTU_648";-0.0230862306239602;0.920877028973124;0.987336164660142;"s__callidus";"g__Ruminococcus";"control";""
"47";"OTU_75";0.186038155413944;0.419426856230997;0.813433902993449;"s__celatum";"g__Clostridium";"control";""
"53";"OTU_83";0.197751217578931;0.39020172027837;0.812609941975519;"s__eggerthii";"g__Bacteroides";"control";""
"55";"OTU_5278";0.180854232471125;0.432728116814448;0.819189965209345;"s__hathewayi";"g__Clostridium";"control";""
"56";"OTU_85";-0.00734090524794581;0.974806506055136;0.99039701676116;"s__ovatus";"g__Bacteroides";"control";""
