"Genus","log2FC","lfcSE","Pvalues","FDR"
"Prevotella",-6.607,0.75442,1.9922e-18,1.4344e-16
"Paraprevotella",-6.0128,1.0306,5.4077e-09,1.8068e-07
"Veillonella",-4.4314,0.76686,7.5284e-09,1.8068e-07
"Gemmiger",2.9862,0.77514,0.00011691,0.0021045
"Haemophilus",-3.2677,0.86186,0.00014978,0.0021568
"Streptococcus",-1.6967,0.57683,0.0032681,0.039217
