"","log2FC","lfcSE","Pvalues","FDR"
"Lachnoclostridium_scindens",1.2468,0.83693,0.1363,0.44825
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",1.3412,0.90405,0.13792,0.44825
"OTU1568|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=93_7",-1.2,0.81929,0.143,0.45801
"Eubacterium_eligens",1.0855,0.76635,0.15664,0.49453
"OTU970|NN=Catabacter_hongkongensis_AB671763|D=84_7",1.4401,1.0253,0.16016,0.49853
"Odoribacter_splanchnicus",0.85453,0.61487,0.16459,0.50521
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",1.3393,0.97717,0.1705,0.51199
"Alistipes_putredinis",-1.0748,0.78702,0.17204,0.51199
"Alistipes_indistinctus",1.2855,0.94502,0.17375,0.51199
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",1.1422,0.84948,0.17877,0.51576
"Kluyvera_ascorbata",1.4015,1.0512,0.18245,0.51576
"OTU1074|NN=Papillibacter_cinnamivorans_AF167711|D=85_3",1.3347,1.0021,0.18289,0.51576
"Sutterella_wadsworthensis",-1.406,1.0606,0.18495,0.51576
"Phenylobacterium_haematophilum",-0.83024,0.62878,0.1867,0.51576
"OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87_6",1.6035,1.2485,0.19902,0.52313
"OTU1000|NN=Bacteroides_vulgatus_BNRRR16SA|D=96_9",-0.71417,0.55655,0.19942,0.52313
"OTU1615|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_1",-1.3429,1.0523,0.20191,0.52313
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",1.0226,0.80266,0.20266,0.52313
"OTU234|NN=Prevotella_conceptionensis_HM587326|D=87_4",-1.2786,1.005,0.20327,0.52313
"Ruminococcus_callidus",1.2799,1.0066,0.20357,0.52313
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.7508,0.59771,0.20907,0.52562
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",1.0724,0.85418,0.2093,0.52562
"OTU555|NN=Christensenella_minuta_AB490809|D=88_7",1.4035,1.1259,0.21258,0.52786
"OTU1731|NN=Roseburia_intestinalis_AB661435|D=97",0.72649,0.58808,0.2167,0.52892
"Actinomyces_odontolyticus",-0.65302,0.52987,0.21779,0.52892
"OTU176|NN=Butyrivibrio_crossotus_FR733670|D=87_8",-1.2341,1.0091,0.22133,0.53167
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",-0.95277,0.78755,0.22636,0.53247
"Parabacteroides_merdae",-1.0413,0.86946,0.23108,0.53247
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",-1.0968,0.91674,0.23155,0.53247
"OTU402|NN=Christensenella_minuta_AB490809|D=85_4",1.5008,1.2579,0.23285,0.53247
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",-1.4788,1.2435,0.23437,0.53247
"Lachnoclostridium_asparagiforme",-0.91067,0.76866,0.23612,0.53247
"OTU1160|NN=Clostridium_methylpentosum_Y18181|D=94_6",1.087,0.92384,0.23935,0.5343
"Bilophila_wadsworthia",0.89851,0.77969,0.24916,0.54801
"OTU1096|NN=Alistipes_indistinctus_AB600999|D=96",-1.4208,1.2365,0.25055,0.54801
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.87013,0.76165,0.25327,0.54801
"Lactococcus_lactis",-0.8432,0.7414,0.25541,0.54801
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.94849,0.84813,0.26342,0.55595
"Alistipes_marseilloanorexicus",1.0359,0.92764,0.26414,0.55595
"OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95_2",-1.2786,1.1539,0.26781,0.55837
"Granulicatella_adiacens",-0.70541,0.64696,0.27556,0.56107
"OTU976|NN=Eubacterium_sulci_AJ006963|D=91_7",1.0479,0.96429,0.27719,0.56107
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",1.2892,1.187,0.27744,0.56107
"OTU252|NN=Rothia_aeria_AB753461|D=96_6",-0.81223,0.75069,0.27926,0.56107
"OTU285|NN=Butyrivibrio_crossotus_FR733670|D=90_9",1.1737,1.0912,0.28209,0.56165
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",-0.89401,0.84718,0.2913,0.57015
"Bifidobacterium_bifidum",1.0563,1.0026,0.29204,0.57015
"OTU699|NN=Clostridium_methylpentosum_Y18181|D=88_8",0.69758,0.6649,0.2941,0.57015
"OTU525|NN=Clostridium_clariflavum_NR_102987_1|D=78_1",1.2341,1.1998,0.30366,0.57763
"OTU644|NN=Dorea_massiliensis_JX101687|D=88_1",-0.61256,0.59764,0.30538,0.57763
"OTU1706|NN=Christensenella_minuta_AB490809|D=85_5",1.2457,1.2165,0.3058,0.57763
"OTU869|NN=Papillibacter_cinnamivorans_AF167711|D=90_2",1.063,1.0447,0.30892,0.57857
"OTU855|NN=Roseburia_faecis_AY804149|D=95_5",-0.67119,0.67101,0.31718,0.58905
"OTU318|NN=Barnesiella_intestinihominis_AB370251|D=85",1.0631,1.0693,0.32011,0.58954
"Pelomonas_saccharophila",-0.55928,0.57509,0.3308,0.59925
"OTU520|NN=Clostridium_bolteae_AJ508452|D=93_9",0.82881,0.85226,0.33081,0.59925
"Coprococcus_eutactus",1.0604,1.1176,0.34273,0.61434
"OTU1461|NN=Desulfitobacterium_frappieri_DFU40078|D=84_5",0.85235,0.90202,0.34469,0.61434
"Methanobrevibacter_smithii_U55233_1",1.1479,1.2305,0.35091,0.61987
"Bacteroides_clarus",1.1339,1.2218,0.35341,0.61987
"OTU131|NN=Oscillibacter_valericigenes_AB238598|D=93_5",-0.76044,0.83401,0.36188,0.62973
"OTU1103|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_3",-0.83696,0.92658,0.36638,0.62997
"OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86_9",1.0698,1.1877,0.36772,0.62997
"OTU1592|NN=Christensenella_minuta_AB490809|D=88_2",-0.73529,0.83688,0.37961,0.64534
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",-0.77344,0.88989,0.38477,0.64841
"OTU995|NN=Gemmiger_formicilis_GU562446|D=92",0.43219,0.4999,0.38729,0.64841
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",-0.54575,0.64903,0.40042,0.66535
"OTU500|NN=Oscillibacter_valericigenes_AB238598|D=90_6",0.8305,1.0332,0.4215,0.69516
"OTU371|NN=OscillospiraPseudoflavonifractor_capillosus_AY136666|D=92_5",-0.70248,0.88191,0.42571,0.69691
"OTU482|NN=Eubacterium_sulci_AJ006963|D=89_4",-0.76256,0.98289,0.43785,0.7115
"Ruminococcus_lactaris",-0.62443,0.82395,0.44854,0.72355
"Collinsella_aerofaciens",0.51181,0.68315,0.45374,0.72664
"OTU845|NN=Alistipes_onderdonkii_AB554231|D=96_7",-0.50264,0.70301,0.47462,0.74641
"OTU426|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92_3",0.48538,0.67922,0.47485,0.74641
"Lactobacillus_rogosae",0.5634,0.79725,0.47977,0.74641
"Barnesiella_intestinihominis",0.53672,0.76921,0.48533,0.74641
"Butyricimonas_virosa",-0.63985,0.92128,0.48735,0.74641
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.58105,0.84126,0.48976,0.74641
"OTU303|NN=Eggerthella_lenta_AF292375|D=87_9",0.77952,1.13,0.49029,0.74641
"OTU1427|NN=Clostridium_clariflavum_NR_102987_1|D=82_3",-0.68978,1.0064,0.4931,0.74641
"OTU42|NN=Ruminococcus_gauvreauii_EF529620|D=88_4",0.60314,0.89361,0.49971,0.75126
"OTU58|NN=OscillospiraFlavonifractor_plautii_Y18187|D=95_5",-0.55118,0.82519,0.50417,0.75285
"OTU841|NN=Eubacterium_saphenum_GU427005|D=91_9",0.43818,0.67286,0.51491,0.76147
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",-0.63746,0.99189,0.52044,0.76147
"Not_Assigned",-0.20489,0.32009,0.5221,0.76147
"OTU1424|NN=Dorea_formicigenerans_EUBRRDP|D=96_7",0.38196,0.60132,0.52529,0.76147
"Bacteroides_massiliensis",0.76973,1.2173,0.52717,0.76147
"Bacteroides_cellulosilyticus",0.5608,0.90591,0.53588,0.76903
"Clostridium_disporicum",-0.43661,0.71629,0.54216,0.77301
"OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90_8",-0.43747,0.74469,0.5569,0.78858
"OTU24|NN=Massilia_aurea_AM231588|D=96_2",-0.3617,0.62093,0.56022,0.78858
"OTU1616|NN=Fusicatenibacter_saccharivorans_AB698912|D=90_2",0.27654,0.49036,0.57279,0.80118
"OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82_8",-0.57022,1.023,0.57727,0.80237
"Erysipelatoclostridium_innocuum",-0.59148,1.0819,0.58459,0.80747
"OTU468|NN=OscillospiraFlavonifractor_plautii_Y18187|D=93_9",0.51033,0.98823,0.60557,0.82794
"OTU253|NN=Geobacillus_stearothermophilus_EF025325|D=75_9",-0.37312,0.72522,0.60691,0.82794
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",-0.3857,0.75866,0.61117,0.82865
"Phascolarctobacterium_faecium",0.4813,0.98033,0.62346,0.83811
"OTU174|NN=Anoxystipes_fissicatena_NR_104800_1|D=92_4",-0.27293,0.55959,0.62574,0.83811
