"","log2FC","lfcSE","Pvalues","FDR"
"Prevotellaceae",-4.3257,0.67367,1.3527e-10,5.546e-09
"Desulfovibrionaceae",2.6853,0.71844,0.00018572,0.0038073
"Pasteurellaceae",-2.3671,0.77071,0.0021314,0.029129
"unclassified",1.4157,0.48049,0.0032158,0.032962
"Streptococcaceae",-1.4594,0.52069,0.005066,0.041542
"Methanobacteriaceae",2.3316,1.2017,0.052344,0.35768
"Carnobacteriaceae",-1.1325,0.62311,0.069146,0.39731
"Christensenellaceae",1.1207,0.63488,0.077523,0.39731
"Oscillospiraceae",-0.71881,0.47761,0.13232,0.60279
"Clostridiaceae",0.80804,0.58718,0.16878,0.66764
"Eubacteriaceae",0.6493,0.48917,0.18439,0.66764
"Veillonellaceae",-0.91348,0.72002,0.20455,0.66764
"Bacteroidaceae",-0.5591,0.44766,0.21169,0.66764
"Gemellaceae",-0.77907,0.75449,0.3018,0.75678
"Peptostreptococcaceae",0.60962,0.59496,0.30553,0.75678
"Not_Assigned",0.33537,0.33229,0.31285,0.75678
"Fusobacteriaceae",-0.80151,0.7957,0.31379,0.75678
"Comamonadaceae",-0.49859,0.52464,0.34193,0.77884
"Dehalobacteriaceae",0.72866,0.87357,0.40422,0.83116
"Enterobacteriaceae",0.61676,0.74136,0.40545,0.83116
"Lachnospiraceae",0.30827,0.44238,0.48591,0.90921
"Micrococcaceae",-0.5141,0.78372,0.51184,0.90921
"Verrucomicrobiaceae",0.51292,0.83052,0.53684,0.90921
"Ruminococcaceae",0.26046,0.44006,0.55395,0.90921
"Porphyromonadaceae",0.30049,0.50828,0.5544,0.90921
"Erysipelotrichaceae",-0.30069,0.60785,0.62083,0.94822
"Staphylococcaceae",0.30002,0.61282,0.62444,0.94822
"Sutterellaceae",0.33083,0.77115,0.66792,0.96167
"Actinomycetaceae",-0.20507,0.50162,0.68267,0.96167
"Mogibacteriaceae",-0.29954,0.78746,0.70366,0.96167
"Acidaminococcaceae",0.2981,0.91979,0.74587,0.97102
"Oxalobacteraceae",0.16073,0.52138,0.75787,0.97102
"Sphingomonadaceae",-0.10859,0.46614,0.8158,0.97446
"Moraxellaceae",0.14253,0.64432,0.82493,0.97446
"Lactobacillaceae",0.096412,0.47795,0.84014,0.97446
"Bradyrhizobiaceae",-0.1807,0.99314,0.85562,0.97446
"Caulobacteraceae",-0.056399,0.53123,0.91545,0.98695
"Coriobacteriaceae",-0.060533,0.57051,0.9155,0.98695
"Rikenellaceae",0.03816,0.49707,0.93881,0.98695
"Bifidobacteriaceae",-0.010114,0.54213,0.98512,0.99804
"Pseudomonadaceae",0.0015,0.61016,0.99804,0.99804
