"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Actinobacteria",2456,24,217,668,561,30,92,420,185,848,168,108,777,499,379,17,267,12953,8794,261,63,74,141,121,11,176,74,34613,113,7750,19,4191,293,3777,1290,15,40,31,108,121,581,148,15,5976,527,119,870,448,230,57,543,264,1182,365,19,163,308
"Bacteroidetes",18729,57456,55751,34344,52755,57869,62220,21741,48636,15498,22503,45674,77733,37886,72507,93089,37206,9693,18517,76005,27834,44940,40717,14797,83,37876,33577,2125,50435,85508,25528,30101,54598,25567,43569,48095,26951,33307,33896,97181,12196,35087,14000,50465,43535,80006,37013,30613,36220,32077,34726,44321,29572,64699,33172,54696,26146
"Firmicutes",56768,17271,22360,46930,33180,36574,39300,59502,16338,45510,54614,48359,36797,50188,17403,8488,62853,67838,44356,27974,21899,56893,62294,44935,24871,49794,47774,37177,39050,19962,6874,59073,23143,67476,30676,31660,75475,1722,59284,11656,18006,65114,5928,58546,35754,24632,33703,20843,28255,9578,36641,37565,68474,17821,12180,45005,44002
"Fusobacteria",0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,20,113,30,23,4,94,13,1970,17,0,9,0,19,1,43,4,0,0,3,31,29,0,0,0,1,0,1,5,0,0,0
"Proteobacteria",773,7512,545,1210,8322,941,1667,3367,17173,407,1260,2968,936,533,2371,1402,881,213,412,719,25867,1193,311,3029,1787,253,1808,418,2822,1108,81,2914,8159,9851,559,474,5094,743,2960,1384,7566,10411,16,2604,393,439,922,1116,659,148,451,1456,2978,263,374,3607,2206
"Unclassified",2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,0,2,0,0,1,2,33,15,13,0,109,0,10,10,1,0,4,0,0,2,4,17,13,0,0,14,36,4,0,2,0,4,6,3,0,0,89,0
"Verrucomicrobia",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,120,1,8,15,25480,0,15,3,141,2,13,57140,1043,0,6,8,13,3921,0,8,4702,25440,3480,552,18,11800,6,1,1675,4,9123
"NA",116,240,186,257,207,77,180,294,271,289,53,150,120,142,90,220,196,110,191,65,211,187,125,217,126,110,193,81,118,342,119,205,136,154,300,226,57,182,52,77,101,327,43,166,122,226,95,120,162,52,263,276,123,220,122,136,142
