"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Acidaminococcaceae",50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2,1,7065,36323,1,18,1,29,9,0,11,16,0,2772,10177,0,394,1,19,2,870,1248,1,7,32,0,329,31,12601,1,0,37,6,477,9504,1,1186,6424,0
"Actinomycetaceae",46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11,62,4,2,10,7,0,1,27,258,71,2,12,5,20,113,8,5,1,0,24,12,42,36,6,3,0,4,8,5,15,24,51,22,8,18,5,27,11
"Bacteroidaceae",9829,30901,13280,9506,22609,24022,15016,4404,14669,12423,1502,27863,13566,9113,28150,90389,18452,8121,12883,14000,13482,14627,9320,135,30,441,29037,2122,48745,81572,25466,23111,5023,25371,3064,7745,26430,18660,2986,4788,8612,23416,182,29144,3185,2278,14481,5418,7478,11137,8280,14271,14564,20709,312,52355,6148
"Bifidobacteriaceae",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,13,32593,24,7710,6,4065,47,2915,1192,0,19,28,9,94,513,51,7,1838,443,57,143,369,191,26,229,207,917,267,6,53,274
"Bradyrhizobiaceae",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,4,0,12,5,0,0,4,0,5,0,3,1,0,3,5,4,0,2,1,2,0,0,0,2,0,0,2,0,0,1,0
"Carnobacteriaceae",22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,81,18,64,38,10,3,6,70,213,264,1,11,0,0,52,15,4,1,5,2,6,40,51,9,1,4,0,8,8,1,4,12,160,5,5,1,88,1
"Caulobacteraceae",2,6,18,41,13,34,4,65,11,0,39,183,9,5,9,16,61,3,1,32,3,39,12,9,5,8,23,1,37,51,4,8,18,0,21,4,11,12,25,8,57,43,1,20,4,25,20,7,1,7,3,39,67,7,0,44,8
"Christensenellaceae",17,66,21,121,210,38,1849,153,67,12,52,101,289,208,8,0,169,67,68,152,172,5,456,6,0,48,1,0,0,1,1,638,0,0,1,80,0,7,51,21,0,0,8,63,93,230,83,167,151,19,40,918,90,243,23,0,71
"Clostridiaceae",470,49,184,255,151,303,64,3184,106,268,3189,294,376,1096,173,5,477,625,679,689,55,325,186,434,1,10,24,115,2884,250,16,15,16,90,53,56,10,10,127,7,76,234,8,148,598,866,2206,625,415,30,187,72,289,247,8,261,209
"Comamonadaceae",0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2,16,10,47,5,8,0,7,6,1,42,46,4,11,19,1,13,12,15,10,16,13,50,42,0,23,16,25,8,11,0,4,2,30,18,6,2,16,2
"Coriobacteriaceae",348,16,89,306,114,18,59,7,6,401,54,51,536,59,24,4,15,60,112,84,35,46,21,30,1,10,24,1719,17,8,1,115,219,690,69,10,11,3,60,10,15,46,2,4107,83,57,719,5,20,5,184,35,255,80,1,71,20
"Dehalobacteriaceae",4,0,8,0,22,0,5,52,2,6,33,0,86,0,0,0,0,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,48,15,3,18,0,0,93,0,0,0
"Desulfovibrionaceae",231,46,38,68,111,0,25,194,7,380,64,0,54,49,18,0,14,0,0,5,16,10,4,5,0,6,0,0,5,0,0,2,48,0,0,0,64,20,8,0,8,8,1,0,2,0,1,24,11,8,70,4,10,0,0,0,0
