"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Oscillibacter",9189,5423,3313,2257,1324,4048,1840,5920,3104,8030,1322,1315,4297,3165,682,276,6303,450,2011,862,2249,2192,2712,13593,2,237,324,3,51,96,2,450,2085,590,6042,225,22,535,11293,3315,32,2474,1368,459,1590,876,4584,3239,6560,1448,13420,10458,3044,621,1462,180,418
"Oscillospira",269,114,58,197,226,244,53,277,287,351,146,137,431,73,97,371,343,398,123,114,241,152,521,95,0,90,307,2,6,16,120,55,466,210,151,126,8,160,169,28,165,2222,9,102,255,197,50,125,426,78,163,352,187,299,82,701,99
"Parabacteroides",370,329,215,244,713,0,263,350,48,833,54,369,103,717,562,13,648,1,598,442,23,85,84,0,0,5,4,0,511,1,53,407,299,0,5,0,386,8,24,40,68,249,6,933,5,13,508,24,532,691,806,248,584,1319,44,679,1974
"Paraprevotella",0,0,3,2835,6,0,8,1,4,0,0,0,5,1,0,0,0,0,0,264,2,0,0,57,2,0,0,0,4,0,0,0,15,3,4,0,0,0,255,187,0,2,21,488,0,2,3,772,1512,257,0,360,0,427,194,0,674
"Parasutterella",16,0,14,7,7536,564,0,71,10110,2,3,774,71,86,0,42,86,1,78,0,68,361,1,0,0,0,0,0,0,1,0,13,2,22,10,0,0,0,49,14,1,42,1,0,5,2,1,130,0,6,51,0,1294,11,16,0,1829
"Pelomonas",0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2,16,10,47,5,8,0,7,6,1,42,46,4,11,19,1,13,12,15,10,16,13,50,42,0,23,16,25,8,11,0,4,2,30,18,6,2,16,2
"Phascolarctobacterium",50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2,1,7065,36323,1,18,1,29,9,0,11,16,0,2772,10177,0,394,1,19,2,870,1248,1,7,32,0,329,31,12601,1,0,37,6,477,9504,1,1186,6424,0
"Phenylobacterium",0,4,16,37,10,33,4,45,6,0,35,179,9,5,9,16,59,3,1,32,2,39,8,4,5,7,20,1,37,50,4,8,18,0,21,4,7,12,23,8,57,42,1,19,3,25,17,5,1,7,2,39,57,7,0,36,7
"Prevotella",42,68,108,246,339,1,48,677,88,11,13232,52,151,97,72,46,6,14,12,14339,20,30,3934,11683,34,34490,72,1,194,489,2,3,46325,144,27684,4,59,1,12001,62602,22,102,13166,7,24897,73343,123,61,36,3816,16622,4518,202,68,3445,82,12
"Pseudomonas",2,5,15,19,14,0,4,126,5,0,10,3,2,17,9,16,9,0,1,22,7,1,2,5,4,8,14,0,2,18,0,0,2,0,3,3,2,0,1,1,11,5,0,5,0,14,28,16,3,0,5,12,34,6,7,16,0
"Roseburia",2162,2442,163,4174,945,1618,5237,3218,834,356,863,18971,972,1962,3121,1,2871,1082,1440,231,2123,1781,2530,420,3,53,627,485,582,32,61,1541,482,5279,1343,2076,25,23,3784,388,703,9240,336,204,742,1190,715,754,3224,101,494,264,1818,591,23,1575,1085
"Rothia",11,0,0,1,0,0,2,0,1,1,1,7,0,0,0,0,5,38,6,10,19,0,2,2,0,0,5,43,0,29,0,4,1,59,0,0,9,0,1,5,11,7,0,0,1,1,0,0,4,2,3,0,2,0,2,12,2
"Ruminococcus",1704,1044,1063,6111,4344,916,1713,13635,858,8966,2716,1104,6025,3456,1377,2035,7331,6085,5699,3991,280,3817,7580,256,4,29,44,102,48,152,3,10,10,321,7366,209,14,68,156,16,156,33,124,7501,217,6907,1785,3667,667,61,1514,4296,30315,2346,6447,5,1936
