""	"healthy"	"hepatopathy"
"Actinomycetales"	518	1165
"Bacillales"	90	106
"Bacteroidales"	839807	1491234
"Bifidobacteriales"	26118	54767
"Burkholderiales"	22310	18369
"Caulobacterales"	520	684
"Clostridiales"	590009	706189
"Coriobacteriales"	2279	8888
"Desulfovibrionales"	1299	340
"Enterobacteriales"	3921	26096
"Erysipelotrichales"	26935	34244
"Fusobacteriales"	115	2500
"Gemellales"	38	153
"Lactobacillales"	6426	44199
"Pasteurellales"	1234	28224
"Pseudomonadales"	350	352
"RF32"	14619	22361
"Rhizobiales"	45	71
"Selenomonadales"	141131	576818
"Sphingomonadales"	8595	10646
"unclassified"	250	394
"Verrucomicrobiales"	32072	148703
"NA"	3937	6256
