"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Actinomyces_odontolyticus",41,1,6,31,17,10,1,6,16,10,2,15,53,74,12,11,30,77,8,59,4,1,5,7,0,0,27,248,71,2,12,5,19,81,6,5,0,0,24,8,42,36,6,2,0,3,8,5,15,24,47,17,8,18,5,23,11
"Akkermansia_muciniphila",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,120,1,8,15,25480,0,15,3,141,2,13,57140,1043,0,6,8,13,3921,0,8,4702,25440,3480,552,18,11800,6,1,1675,4,9123
"Alistipes_indistinctus",20,0,264,257,61,194,62,108,87,28,38,289,206,484,0,253,35,0,0,78,624,168,43,0,0,0,0,0,0,0,0,0,8,0,0,0,0,98,48,118,0,0,2,72,286,0,0,0,26,1,4,8,0,0,0,0,0
"Alistipes_marseilloanorexicus",19,0,8,660,4019,0,2614,608,471,0,37,881,499,1603,1215,2,0,0,44,0,2602,616,254,0,0,0,2,0,3,6,1,18,3,0,3,0,0,126,1342,0,0,1,17,1201,74,420,90,373,36,372,0,2006,58,9565,0,1,212
"Alistipes_obesi",3532,4164,5203,3832,5711,1,3496,37,3406,616,436,4052,5962,6787,9456,7,2318,294,242,0,1255,2651,2,8,0,541,2,0,14,51,1,228,1,10,3210,2932,7,63,1451,39,0,129,30,6311,1060,1592,188,352,1471,542,252,1157,1053,1,1,34,10160
"Alistipes_putredinis",1110,0,8228,7206,76,2,13780,11,2635,262,3461,6323,31,4379,11750,19,6070,1,675,4,3890,10,6754,40,3,525,17,1,26,42,0,3497,284,11,3262,10,29,1029,10530,17850,0,7438,181,14,6364,36,10290,9045,7706,5017,4378,17240,8364,7,1,355,2
"Anaerotruncus_colihominis",0,2,82,0,3,8,0,0,3,0,4,2,0,2,1,1,18,1,1,0,20,0,10,0,0,2,1,0,0,0,0,0,13,0,0,0,0,38,1,0,0,8,1,3,0,4,117,23,0,3,0,0,0,0,0,3,0
"Bacteroides_caccae",398,2879,576,1986,248,1704,1571,9,100,1157,566,56,1375,73,2125,6,70,1,591,1817,1664,74,459,25,4,128,186,1436,4171,11,10360,2421,13,1,20,12,66,13760,167,2206,26,2983,28,13260,1192,10,46,2,1272,2637,1440,1449,4,8177,64,478,34
"Bacteroides_cellulosilyticus",146,2,979,125,1739,0,31,7,7,349,31,1620,1810,1,1,7531,0,0,2,3,0,10100,4,0,4,8,0,0,0,4,0,128,122,2,3,0,18,49,5,3,0,114,25,1,0,22,8055,373,188,20,87,144,405,1288,10,5852,1075
"Bacteroides_massiliensis",1278,1719,1,1,0,0,340,135,3,2663,0,0,1,0,0,0,0,0,1039,0,0,0,0,0,0,0,3,1,0,0,0,1655,867,0,0,0,0,1,24,0,0,2,9,523,47,0,0,0,0,0,1652,3,758,0,14,0,0
"Bacteroides_plebeius",1,0,9,6,1,1,0,9,2,1,0,0,5,0,0,0,0,0,0,0,1,0,5,10,2,0,1,0,26,51130,0,0,0,3,16,0,2,0,0,0,0,0,0,0,0,2,4,0,1942,526,169,0,0,0,2,0,0
"Bacteroides_uniformis",2287,12940,2603,749,4820,15480,11230,200,6257,1479,329,21430,5841,4522,19100,38780,5164,1,3321,5841,3686,6,5033,42,6,38,6488,0,164,13420,2548,3680,1159,8,1210,4708,14,255,1274,885,0,4931,24,4570,186,1265,2506,2674,2505,2666,742,8186,3093,4712,61,10440,1528
