"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Actinomycetales",57,1,6,32,19,10,3,6,18,13,3,25,55,74,12,11,36,120,17,72,23,2,12,9,0,1,32,301,71,31,12,9,21,172,8,5,10,0,25,17,53,43,6,3,1,5,8,5,19,26,54,22,10,18,7,39,13
"Bacillales",2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,28,0,0,0,0,2,0,1,12,6,6,2,2,5,1,0,1,2,0,0,0,0,13,0,0,0,0,7,7,0,1,0,6,0,0,2,2,0
"Bacteroidales",18729,57456,55751,34344,52755,57869,62220,21741,48636,15498,22503,45674,77733,37886,72507,93089,37206,9693,18517,76005,27834,44940,40717,14797,83,37876,33577,2125,50435,85508,25528,30101,54598,25567,43569,48095,26951,33307,33896,97181,12196,35087,14000,50465,43535,80006,37013,30613,36220,32077,34726,44321,29572,64699,33172,54696,26146
"Bifidobacteriales",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,105,4,26,90,70,10,156,13,32593,24,7710,6,4065,47,2915,1192,0,19,28,9,94,513,51,7,1838,443,57,143,369,191,26,229,207,917,267,6,53,274
"Burkholderiales",469,18,103,131,7597,602,12,361,10130,15,68,1060,369,136,492,494,165,6,82,56,3036,419,83,253,5,34,70,2,218,206,4,1411,30,4144,34,18,23,11,215,906,62,1501,4,26,189,45,94,156,13,20,95,97,1414,49,22,1554,1850
"Caulobacterales",2,6,18,41,13,34,4,65,11,0,39,183,9,5,9,16,61,3,1,32,3,39,12,9,5,8,23,1,37,51,4,8,18,0,21,4,11,12,25,8,57,43,1,20,4,25,20,7,1,7,3,39,67,7,0,44,8
"Clostridiales",53178,15813,15598,37442,22806,18257,22117,47236,13960,42055,38247,34455,32313,44619,12360,5345,36196,60696,37316,20770,11067,19678,47054,22177,34,7086,34992,22031,24053,18013,1111,6589,8073,14978,29152,12464,346,1665,29647,7534,5874,27842,2345,41128,16383,17939,20471,17055,26019,6458,34281,25062,58327,17664,10617,27551,12659
"Coriobacteriales",348,16,89,306,114,18,59,7,6,401,54,51,536,59,24,4,15,60,112,84,35,46,21,30,1,10,24,1719,17,8,1,115,219,690,69,10,11,3,60,10,15,46,2,4107,83,57,719,5,20,5,184,35,255,80,1,71,20
"Desulfovibrionales",231,46,38,68,111,0,25,194,7,380,64,0,54,49,18,0,14,0,0,5,16,10,4,5,0,6,0,0,5,0,0,2,48,0,0,0,64,20,8,0,8,8,1,0,2,0,1,24,11,8,70,4,10,0,0,0,0
"Enterobacteriales",7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103,19,903,8,0,198,1692,3,136,0,555,30,36,295,7848,5683,12,10,4837,567,9,9,51,69,3,2353,3,8,160,8,6,35,44,107,0,22,306,39,32
"Erysipelotrichales",521,343,1532,2259,8589,614,185,395,132,244,355,344,2667,1250,111,3053,3657,474,210,456,87,509,120,122,1,505,125,274,13377,766,4,348,29,9,208,2247,20,3,1938,24,206,229,2,20,4463,121,11,1520,1927,2229,326,471,338,29,4,312,864
"Fusobacteriales",0,0,0,16,15,0,26,0,1,13,2,2,30,0,0,2,4,4,0,1,40,1,6,21,1,0,20,113,30,23,4,94,13,1970,17,0,9,0,19,1,43,4,0,0,3,31,29,0,0,0,1,0,1,5,0,0,0
"Gemellales",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,6,13,12,0,1,0,15,15,0,0,0,0,4,1,14,0,0,3,3,0,0,5,0,4,0,19,9,1,0,5,0
"Lactobacillales",831,111,482,422,461,76,172,1122,173,73,219,1072,442,126,117,45,144,242,96,673,833,227,258,231,132,29,662,10004,856,273,23,391,929,18711,39,68,991,22,97,417,623,321,74,39,91,39,80,161,126,233,246,4409,147,67,9,1649,19
"Pasteurellales",27,0,36,6,0,22,0,10,44,0,643,20,76,13,183,28,54,55,17,71,338,271,2,2467,0,5,1208,408,1353,10,23,1123,9,17,151,294,5,0,2493,248,6949,8306,1,4,87,18,80,2,545,5,175,1,39,0,0,1384,132
"Pseudomonadales",2,7,21,33,20,4,5,156,5,0,17,7,4,22,11,21,9,5,1,36,13,1,3,6,6,8,16,0,3,25,0,0,2,0,10,3,2,0,9,1,12,5,0,5,0,22,30,18,3,3,5,23,51,7,7,16,1
"RF32",3,5503,0,0,0,0,1466,301,5714,0,0,0,2,0,1489,0,0,0,141,0,21380,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,137,0,0,0,0,0,2,2,795,0,0,1,1,33,1,4,0,0
"Rhizobiales",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,4,0,12,5,0,0,4,0,5,0,3,1,0,3,5,4,0,2,1,2,0,0,0,2,0,0,2,0,0,1,0
"Selenomonadales",2231,999,4747,6786,1318,17627,16822,10721,2071,3137,15784,12481,1367,4191,4811,30,22852,6424,6732,6045,9910,36466,14856,22405,24702,42174,11988,4843,746,904,5733,51743,14092,33762,1277,16880,74116,32,27598,3680,11289,36709,3507,17356,14814,6533,13134,2095,183,653,1788,7598,9653,60,1548,15486,30460
"Sphingomonadales",32,132,303,917,546,276,148,2250,97,12,424,1668,410,227,169,302,553,62,67,496,178,436,207,90,79,188,351,7,638,781,14,75,200,7,325,144,147,132,201,72,422,475,6,194,107,317,535,106,80,68,58,1184,1362,177,35,569,183
"unclassified",2,0,6,5,15,1,3,0,4,4,4,2,2,4,153,0,45,0,0,0,2,0,0,1,2,33,15,13,0,109,0,10,10,1,0,4,0,0,2,4,17,13,0,0,14,36,4,0,2,0,4,6,3,0,0,89,0
"Verrucomicrobiales",19,6615,1378,185,12890,31,60,2108,2084,561,2002,598,287,110,1197,6,0,3,1938,7,16,13,3903,9,16,1,120,1,8,15,25480,0,15,3,141,2,13,57140,1043,0,6,8,13,3921,0,8,4702,25440,3480,552,18,11800,6,1,1675,4,9123
"NA",413,240,187,260,207,77,182,294,271,432,53,150,120,142,90,220,298,110,191,65,212,187,143,229,126,119,198,81,119,343,119,207,142,154,321,226,57,182,66,77,101,335,43,194,122,226,95,189,162,52,339,276,123,220,127,136,143
