""	"healthy"	"hepatopathy"
"Actinomyces_odontolyticus"	421	854
"Akkermansia_muciniphila"	32072	148703
"Alistipes_indistinctus"	2386	1584
"Alistipes_marseilloanorexicus"	12680	19402
"Alistipes_obesi"	59552	36799
"Alistipes_putredinis"	66019	124252
"Anaerotruncus_colihominis"	128	247
"Bacteroides_caccae"	15491	72103
"Bacteroides_cellulosilyticus"	14381	28112
"Bacteroides_massiliensis"	7180	5559
"Bacteroides_plebeius"	35	53841
"Bacteroides_uniformis"	156533	100554
"Barnesiella_intestinihominis"	105669	68724
"Bifidobacterium_bifidum"	277	4546
"Bilophila_wadsworthia"	782	308
"Bradyrhizobium_elkanii"	45	71
"Butyricimonas_virosa"	365	235
"Christensenella_minuta"	23	317
"Clostridium_disporicum"	3651	3492
"Collinsella_aerofaciens"	1965	8483
"Coprococcus_eutactus"	823	2085
"Dialister_pneumosintes"	0	3796
"Dorea_longicatena"	5171	1904
"Eggerthella_lenta"	94	148
"Eubacterium_brachy"	33	56
"Eubacterium_eligens"	2171	3947
"Eubacterium_siraeum"	1967	2875
"Fusicatenibacter_saccharivorans"	5898	3115
"Gemella_haemolysans"	38	153
"Granulicatella_adiacens"	374	1262
"Haemophilus_parainfluenzae"	1216	27899
"Holdemania_filiformis"	136	88
"Intestinibacter_bartlettii"	21976	19754
"Intestinimonas_butyriciproducens"	871	988
"Kluyvera_ascorbata"	3068	3682
"Lachnoclostridium_aldenense"	238	557
"Lachnoclostridium_asparagiforme"	49	369
"Lachnoclostridium_citroniae"	230	1492
"Lachnoclostridium_scindens"	134	138
"Lactobacillus_antri"	538	1509
"Lactobacillus_rogosae"	738	965
"Lactobacillus_salivarius"	1579	2536
"Lactococcus_lactis"	353	460
"Odoribacter_splanchnicus"	16879	11689
"Oscillospira_plautii"	730	1189
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91"	76	84
"OTU1000.NN.Bacteroides_vulgatus_BNRRR16SA.D.96_9"	67348	150309
"OTU1028.NN.Ruminococcus_gnavus_JN713312.D.95_6"	1741	23101
"OTU1033.NN.Ruminococcus_bromii_DQ882649.D.88"	394	268
"OTU1051.NN.Christensenella_minuta_AB490809.D.87_2"	2214	2081
"OTU107.NN.Blautia_glucerasea_AB588023.D.95_6"	3481	1565
"OTU1074.NN.Papillibacter_cinnamivorans_AF167711.D.85_3"	341	188
"OTU1087.NN.Blautia_glucerasea_AB588023.D.93"	1150	2880
"OTU1103.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_3"	168	287
"OTU1147.NN.Clostridium_glycolicum_AY007244.D.96_3"	8778	7697
"OTU1160.NN.Clostridium_methylpentosum_Y18181.D.94_6"	119	110
"OTU117.NN.Clostridium_bolteae_AJ508452.D.90_7"	888	129
"OTU119.NN.Papillibacter_cinnamivorans_AF167711.D.91_1"	1586	1760
"OTU1226.NN.Oscillibacter_valericigenes_AB238598.D.94_8"	149	444
"OTU1240.NN.OscillospiraClostridium_viride_X81125.D.86"	246	42
"OTU126.NN.Alistipes_marseilloanorexicus_JX101692.D.90_9"	65657	42611
"OTU1288.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_8"	41	69
"OTU1291.NN.Lactobacillus_gasseri_JQ805634.D.97"	213	927
"OTU131.NN.Oscillibacter_valericigenes_AB238598.D.93_5"	62	122
"OTU1335.NN.Oscillibacter_valericigenes_AB238598.D.95_6"	664	608
"OTU1337.NN.Desulfovibrio_desulfuricans_DVURRDA.D.89"	517	32
"OTU1339.NN.Clostridium_clariflavum_NR_102987_1.D.76_8"	2170	2819
"OTU1358.NN.Oscillibacter_valericigenes_AB238598.D.91_3"	1040	2027
"OTU136.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.91_2"	339	444
"OTU1376.NN.Acinetobacter_septicus_EF611418.D.96"	93	95
"OTU1387.NN.Alistipes_timonensis_JF824799.D.96_6"	28446	14854
"OTU1390.NN.Parabacteroides_gordonii_AB470344.D.80_1"	72	24282
"OTU1413.NN.Mesorhizobium_loti_RLU50164.D.82_1"	14619	22361
"OTU1424.NN.Dorea_formicigenerans_EUBRRDP.D.96_7"	1474	2083
"OTU1482.NN.Veillonella_atypica_X84007.D.96_9"	21448	246499
"OTU1491.NN.Eubacterium_sulci_AJ006963.D.90_3"	793	892
"OTU1513.NN.Christensenella_minuta_AB490809.D.84_3"	60	80
"OTU152.NN.Oscillibacter_valericigenes_AB238598.D.94_3"	26762	37094
"OTU1524.NN.Anaerofilum_pentosovorans_X97852.D.90_6"	516	425
"OTU1527.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.93_9"	755	1386
"OTU1536.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_6"	2230	3280
"OTU1551.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.91_1"	401	433
"OTU1552.NN.Catabacter_hongkongensis_AB671763.D.82_8"	165	251
"OTU156.NN.Oscillibacter_valericigenes_AB238598.D.95_3"	3679	10935
"OTU1560.NN.Oscillibacter_valericigenes_AB238598.D.90_2"	64	127
"OTU1568.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_7"	26	147
"OTU1592.NN.Christensenella_minuta_AB490809.D.88_2"	76	222
"OTU160.NN.Intestinimonas_butyriciproducens_JX101685_1.D.91_4"	7361	9845
"OTU1615.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_1"	202	423
"OTU1616.NN.Fusicatenibacter_saccharivorans_AB698912.D.90_2"	4983	6572
"OTU1632.NN.Ruminococcus_bromii_DQ882649.D.86_7"	129	259
"OTU1678.NN.Veillonella_dispar_GQ422726.D.94_9"	60	1868
"OTU1683.NN.Ruminococcus_bromii_DQ882649.D.90"	155	111
