""	"healthy"	"hepatopathy"
"Actinobacteria"	28915	64820
"Alphaproteobacteria"	23779	33762
"Bacilli"	6554	44458
"Bacteroidia"	839807	1491234
"Betaproteobacteria"	22310	18369
"Clostridia"	590009	706189
"Deltaproteobacteria"	1299	340
"Erysipelotrichia"	26935	34244
"Fusobacteriia"	115	2500
"Gammaproteobacteria"	5505	54672
"Negativicutes"	141131	576818
"unclassified"	250	394
"Verrucomicrobiae"	32072	148703
"NA"	3937	6256
