""	"healthy"	"hepatopathy"
"Actinobacteria"	29463	65097
"Bacteroidetes"	839807	1491234
"Firmicutes"	764629	1361709
"Fusobacteria"	115	2500
"Proteobacteria"	52893	107143
"Unclassified"	250	394
"Verrucomicrobia"	32072	148703
"NA"	3389	5979
