#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH011	AIH020	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH037	AIH042	AIH046	AIH072	AIH074	AIH077
Bacteria	22	12	38	5	6	33	5	11	9	10	23	5	34	31	15	27	9	18	20	5	19	12	8	4	10	13	20	15	21	30	27	5	13	7	16	32	13	12	18
Bacteria; Firmicutes; Bacilli; Gemellales; Gemellaceae; Gemella; Gemella_haemolysans	6	12	0	4	1	0	0	3	0	5	0	4	0	19	9	1	2	2	13	6	0	0	0	2	13	1	0	15	15	0	0	0	0	14	3	0	0	5	0
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces	0	0	0	0	4	0	0	0	0	0	0	0	4	5	0	0	3	0	1	5	0	0	1	0	10	0	0	1	32	2	0	1	0	0	1	1	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; Oscillospira_plautii	16	5	9	5	6	41	0	6	2	13	17	5	7	9	3	9	3	29	3	110	0	0	0	21	2	120	3	0	0	0	1	3	64	139	33	32	4	490	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; [Ruminococcus]	3	1	0	3	6	0	0	0	0	3	2	0	3	10	5	17	3	15	5	11	0	0	0	0	0	0	1	0	0	10	12	0	0	0	1	7	0	0	13
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	4	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU260|NN=Clostridium_clostridioforme_AY169422|D=94.1	11	6	0	4	1	2	0	0	4	5	21	3	43	2	19	0	1	5	24	25	12	0	5	0	0	0	4	193	1094	0	2	0	0	0	21	1	0	9	16
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	1	0	0	0	0	0	0	0	19	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia	2	0	0	0	0	0	0	0	1	0	0	0	158	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	22	35	5	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus	0	3	0	2	0	0	0	1	1	1	31	2	140	16	7	1	12	4	10	2	6	0	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0	37	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_sulci	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Butyricimonas; Butyricimonas_virosa	0	0	0	1	1	0	2	27	27	2	17	12	65	7	1	0	4	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	3	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Eggerthella; Eggerthella_lenta	2	4	0	0	0	4	0	0	0	0	0	0	0	2	0	3	2	10	4	2	0	1	1	0	65	0	0	0	0	0	10	11	2	12	3	1	0	9	0
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium	19	15	9	19	0	2	0	3	24	0	0	0	0	0	0	0	1	40	0	3	16	0	0	0	113	4	94	12	1965	0	0	9	0	43	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1552|NN=Catabacter_hongkongensis_AB671763|D=82.8	0	0	0	0	0	0	0	0	0	145	2	18	0	2	0	29	5	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	3	2	2	4	0	0	1	2	0	23110	0	2	1	0	0	1	1	0	4	1	0	0	0	1	0	0	2	2	1	0	0	0	0	1	2	1	0	1	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Candidatus Stoquefichus; OTU102|NN=Stoquefichus_massiliensis_JX101690|D=96.7	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	1	0	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium	3	0	0	1	16	1	0	2	4	1	2	3	0	15	2	3	1	1	37	12	2	0	21	0	6	0	4	0	11	6	0	2	0	0	237	1	2	15	2
Bacteria; Firmicutes; Clostridia; Clostridiales	24	1202	2	0	10	75	1	1	0	18	2	0	173	7	7	0	2	2	18	6	10	0	0	0	0	0	14	11	1	14	104	0	1	5	1	6	0	233	4
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU463|NN=Prevotella_copri_AB064923|D=89	1	0	0	3	0	1	0	0	0	0	0	0	0	18	0	0	2	0	0	0	0	0	313	0	0	0	0	4977	0	0	0	0	0	0	1	0	0	0	0
Bacteria	0	0	7	0	1	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91.1	0	0	3	23	110	0	21	164	58	6	0	27	82	215	124	141	1	0	33	453	18	0	0	0	0	0	5	0	0	107	0	0	131	0	0	17	1	0	20
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_salivarius	14	0	0	0	0	0	3	0	1	50	22	24	19	1231	12	14	5	0	0	0	22	5	0	3	0	0	0	0	1035	1	0	68	3	0	0	0	1	6	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU1288|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=92.8	0	0	0	2	2	0	0	0	0	3	7	0	1	14	0	1	3	3	3	17	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	6
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Cryptobacterium; Cryptobacterium_curtum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU436|NN=Intestinimonas_butyriciproducens_JX101685.1|D=92.9	0	0	0	0	1	0	0	0	0	24	75	0	31	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	1	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU206|NN=Oscillibacter_valericigenes_AB238598|D=95.4	0	0	0	0	0	0	1	0	0	23	12	3	0	0	0	146	4	12	0	227	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	27	0	0	4
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Dialister; OTU379|NN=Dialister_succinatiphilus_AB370249|D=96.3	0	2	0	0	0	1	0	0	0	0	0	598	1612	7109	35	38	4	0	0	3	20450	2	0	0	0	0	0	0	24	1	0	0	0	0	0	3	0	1	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU42|NN=Ruminococcus_gauvreauii_EF529620|D=88.4	2	0	0	0	0	0	0	0	0	9	3	1	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_graevenitzii	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	46	0	0	2	15	0	0	0	0	0	0	0	0	5	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_perfringens	0	46	0	0	0	32	0	248	0	0	0	0	2	12	3	0	1	1	0	0	0	12	0	0	0	38	0	0	1	5	0	0	0	7	0	0	95	0	68
Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium	0	2	0	0	0	0	0	0	0	0	0	0	0	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	2	0	3	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90.2	0	1	0	1	0	0	0	8	1	0	11	0	19	0	0	0	2	32	1	0	0	0	9	0	0	0	0	0	0	1	2	0	0	0	7	18	0	5	9
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_faecium	3	8	5	856	1248	7	32	329	12600	1	0	37	5	44	9504	0	1	7064	36320	0	16	1	29	1	0	0	0	7	0	9	1	18	2	1	0	29	1186	6424	0
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU506|NN=Christensenella_minuta_AB490809|D=83.8	0	0	2	190	0	1	18	50	7	416	1173	0	776	0	0	0	3	0	0	3	54	0	0	0	0	0	0	1	0	3	0	2	0	0	0	250	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1560|NN=Oscillibacter_valericigenes_AB238598|D=90.2	0	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	1	4	2	0	0	0	0	0	0	0	0	0	3	0	7	1	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	4	0	0	0	23	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1102|NN=Gemmiger_formicilis_GU562446|D=86.8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	6	0	0	0	0	0	0	0	0	1	7	16	16	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95.6	148	3379	16680	0	0	8	0	2	0	0	1	1	1	183	0	4	1	2	4	5	1	4	4	15	964	10	0	1	54	4	115	7	19	17	876	2	35	557	12
Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Terrisporobacter; OTU1147|NN=Clostridium_glycolicum_AY007244|D=96.3	3	460	30	1876	9	372	1	0	4	335	215	10	1407	0	182	16	2	0	1	3	6	1	9	0	0	2	1	7	10	1871	720	2	12	0	0	88	0	0	42
Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae	19	6	0	37	4	70	0	0	0	0	6	0	2	0	0	0	1	2	6	0	53	0	2	0	11	1	36	0	0	1	4	0	0	36	0	1	0	23	4
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_marseilloanorexicus	2	3	6	1342	0	1	17	74	90	373	36	372	0	2006	58	9565	0	2602	616	254	0	0	0	0	0	1	18	3	0	3	0	0	126	0	1201	420	0	1	212
Bacteria; Proteobacteria; Alphaproteobacteria; RF32; unclassified; unclassified; OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82.1	0	1	0	0	137	0	0	0	2	795	0	0	1	1	33	1	0	21380	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	4	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Sutterella; Sutterella_wadsworthensis	2	150	156	150	877	1402	3	168	41	0	0	3	27	12	0	28	0	2942	1	72	223	0	2	0	0	0	1378	2	4121	0	0	2	0	5	0	0	0	1517	0
Bacteria; Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU882|NN=Melainabacter_A1|D=94.7	0	0	0	0	0	0	0	0	165	0	65	0	0	0	0	12	0	1998	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	1	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; Alistipes_obesi	2	14	51	1451	39	129	30	1060	188	352	1471	542	252	1157	1053	1	0	1255	2651	2	8	0	541	0	0	1	228	1	10	3210	2932	7	63	0	6311	1592	1	34	10160
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU1736|NN=Alistipes_senegalensis_JF824804|D=96.3	0	6	0	0	0	0	0	0	447	0	0	0	17	226	0	184	0	174	1	19	0	0	0	0	0	0	1	1	0	0	0	0	0	0	127	1	0	19	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU810|NN=Soleaferrea_massiliensis_JX101688|D=87.6	0	0	0	0	0	4	15	0	1	0	0	0	2	0	0	0	0	135	0	514	0	1	1898	0	0	41	0	0	0	0	890	3	103	1	43	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU405|NN=Barnesiella_intestinihominis_AB370251|D=89.9	0	0	0	0	24	2	0	40	186	0	0	0	18	241	0	0	0	84	0	0	8	0	0	7	0	0	13	0	0	0	0	0	0	0	0	29	1	0	1
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Veillonellaceae; Veillonella; OTU1678|NN=Veillonella_dispar_GQ422726|D=94.9	96	0	94	0	0	26	4	0	38	0	0	7	0	0	0	2	0	270	0	0	162	1	0	0	0	0	0	109	1050	0	9	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU877|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=93.8	0	1	0	12	4	5	2	51	0	0	7	0	39	0	31	1	0	91	5	30	11	0	71	0	0	0	0	24	0	0	0	2	2	0	4	37	0	11	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	3	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_scindens	38	1	0	0	5	0	1	0	1	8	4	1	0	1	2	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	36	1	0	0	16	4
Bacteria; Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU482|NN=Eubacterium_sulci_AJ006963|D=89.4	0	0	0	8	14	1	4	15	110	0	8	1	30	98	5	0	0	28	39	0	57	0	2	0	0	0	0	0	0	24	0	0	0	0	0	1	2	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU603|NN=Soleaferrea_massiliensis_JX101688|D=87.1	0	0	0	174	0	0	0	0	0	0	0	0	0	0	99	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU788|NN=Eggerthella_lenta_AF292375|D=92.5	0	0	0	3	0	0	0	0	0	2	0	0	32	2	0	0	0	41	0	0	5	0	0	0	0	0	6	26	0	0	0	0	0	0	0	0	2	2	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_rogosae	5	272	0	0	15	0	1	41	0	7	26	0	121	29	32	0	0	161	0	69	4	0	0	0	0	0	46	2	82	0	0	0	0	0	33	7	0	0	12
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella	2	0	0	0	12	7	0	0	0	0	0	0	0	0	0	4	0	3	3	0	13	0	0	0	60	0	0	0	0	1	2	0	45	2	0	0	0	513	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	1	0	1	0	6	244	0	0	97	13	0	10	0	2	0	50	0	222	740	1	0	1	0	0	0	0	12	0	0	0	42	0	200	1	0	2	1	259	11
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU355|NN=Clostridium_lactatifermentans_AY033434|D=90.6	81	1	0	0	0	31	0	0	0	0	0	12	0	0	0	33	0	39	2	0	0	0	0	0	0	0	0	0	0	0	23	0	136	0	67	64	0	0	8
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1491|NN=Eubacterium_sulci_AJ006963|D=90.3	0	0	0	0	3	3	2	0	9	7	26	9	2	221	9	2	0	250	0	7	0	0	7	0	0	1	7	0	0	0	15	0	0	21	258	0	0	0	33
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_siraeum	6	2	0	17	6	0	1	5	142	139	492	14	2	0	89	181	0	87	0	94	14	0	0	0	0	0	0	0	0	78	0	0	0	0	11	119	444	0	932
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU700|NN=Oscillibacter_valericigenes_AB238598|D=90.8	17	0	0	1	0	97	4	62	23	0	6	0	2	45	0	0	0	17	1	5	0	0	5	0	0	0	1	0	0	13	3	0	4	0	9	2	1	63	12
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	1	2	14	0	0	6	34	0	167	0	25	0	21	0	0	0	0	0	0	1	0	0	0	33	0	2	0	3	11	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira	14	0	0	1	7	0	0	24	0	5	19	0	29	0	0	12	0	4	4	5	62	0	0	0	0	0	2	7	0	0	2	0	0	0	8	3	2	37	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Oxalobacter; OTU1650|NN=Oxalobacter_formigenes_OFU49754|D=97	0	0	0	0	6	0	1	13	129	18	7	0	1	43	0	0	0	99	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU944|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.5	2	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium	54	0	1	0	1	13	0	14	10	2	22	4	6	0	0	2	0	13	1	11	7	0	4	0	289	1	4	7	0	6	1	0	0	290	11	23	0	372	17
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	4	6	1	2	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	1	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	2	0	0	2	3	7	5	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU1048|NN=Clostridium_populeti_X71853|D=91.9	1	0	0	0	0	0	2	0	0	0	265	0	124	0	0	0	0	63	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; Parasutterella; Parasutterella_excrementihominis	0	0	1	49	14	42	1	5	1	130	0	6	51	0	1294	11	0	68	361	1	0	0	0	0	0	0	13	2	22	10	0	0	0	1	0	2	16	0	1829
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	0	16	1	0	9	44	0	4	14	14	0	51	14	1	5	8	0	32	3	20	0	0	0	0	0	3	26	0	855	0	21	483	16	12	15	0	0	313	12
Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus_lactis	0	80	21	1	0	58	0	1	2	14	4	4	0	120	2	12	0	3	89	1	12	0	0	9	0	1	8	7	0	0	5	0	0	0	0	15	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; OTU825|NN=Phascolarctobacterium_faecium_X72867|D=90.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1842	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; OTU1196|NN=Christensenella_minuta_AB490809|D=86.5	0	0	0	0	0	0	0	0	0	84	0	1	3	0	0	0	0	11	0	3	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	4	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria; Fusobacteria; Fusobacteriia; Fusobacteriales; Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	6	0	0	3	0	0	0	0	1	9	0	8	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_succinatutens	6	3	11	14	0	0	0	0	1	0	0	0	1	433	0	1	0	1	3	1	2	0	0	0	0	0	2772	10170	0	385	0	1	0	0	0	2	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95.2	0	0	0	112	46	0	0	0	0	0	153	5	26	1	19	0	0	51	0	81	276	0	0	0	0	0	0	171	0	0	0	0	0	0	59	4	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Anaerofustis; Anaerofustis_stercorihominis	0	0	0	1	0	0	0	1	3	0	0	0	4	0	0	16	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	21	0	0	39	7	13	0	8	11	4	20	17	11	0	3	19	0	14	1	20	5	0	4	7	252	0	18	17	3	6	4	0	0	2	5	0	0	8	13
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae	0	0	0	0	0	0	0	1	0	1	0	0	1	11	0	8	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; unclassified; OTU1677|NN=Christensenella_minuta_AB490809|D=89.2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	53	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Anaerotruncus; Anaerotruncus_colihominis	1	0	0	1	0	8	1	0	117	23	0	3	0	0	0	0	0	20	0	10	0	0	2	0	0	0	0	13	0	0	0	0	38	0	3	4	0	3	0
Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter_gracilis	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	6	0	6	1	18	0	2	4	0	33	0	0	0	0	1
Bacteria; Firmicutes; Clostridia; Clostridiales	0	0	0	0	2	0	0	0	0	13	2	0	8	0	0	10	0	25	0	14	4	0	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1493|NN=Gemmiger_formicilis_GU562446|D=92.7	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia; Abiotrophia_defectiva	0	17	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	14	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Chryseobacterium; OTU299|NN=Chryseobacterium_hominis_AM261868|D=96.7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0
