#NAME	AIH018	AIH021	AIH022	AIH035	AIH036	AIH039	AIH040	AIH043	AIH047	AIH052	AIH058	AIH059	AIH068	AIH069	AIH070	AIH071	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH011	AIH020	AIH023	AIH026	AIH027	AIH029	AIH030	AIH031	AIH032	AIH033	AIH037	AIH042	AIH046	AIH072	AIH074	AIH077
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU644|NN=Dorea_massiliensis_JX101687|D=88.1	111	208	22	152	163	4	16	518	810	104	434	155	1831	335	165	522	645	9	590	948	449	1	704	33	0	432	204	17	2	813	2	58	54	8	187	48	100	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	4	193	6	3297	0	4	285	4	4340	5099	9400	5130	19	1	2240	2	1589	713	4	6678	246	6	23	0	0	0	8	37	3	493	0	9	3	2	75	14	1	1	1
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	8437	8159	43	94	435	2538	38	909	378	89	680	935	441	2581	508	4212	2308	1752	1379	420	21	4	80	980	0	442	5268	150	14	1605	357	2247	1328	2078	1278	136	21	10380	572
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; Eubacterium_eligens	14	0	0	12	2	0	9	10	16	60	1332	0	196	228	11	62	155	331	0	13	8	0	0	1	0	3	0	0	2	0	90	0	0	385	4	41	3	960	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU995|NN=Gemmiger_formicilis_GU562446|D=92	29870	41	25	7005	1479	7870	92	1076	1466	1132	3140	2454	1624	1371	4030	2705	698	860	1400	22940	1565	3	3164	561	7287	98	2640	1412	474	1607	309	101	37	384	13950	2074	421	15200	2435
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes; OTU886|NN=Alistipes_senegalensis_JF824804|D=93.4	0	0	0	0	0	2	0	0	107	0	2	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	0	0	218	72	0	121	60	0	0	0	159	528	124	0	0	242	0	0	19	160	0	10	0	0	0	0	194	0	0	0	0	0	0	0	16	74	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae; Christensenella; Christensenella_minuta	0	0	0	23	0	0	0	0	21	3	0	3	0	53	37	0	51	74	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes	0	0	0	6	0	0	0	0	170	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU516|NN=Prevotella_copri_AB064923|D=96.6	0	0	0	27	1405	0	41	225	1	0	0	63	114	15	0	0	125	0	0	126	4	0	7	0	0	0	0	6	0	25	0	0	0	0	0	0	8	0	0
