"","0_healthy","1_normal","2_fibrose","3_zirrhose"
"Actinomycetales",0.000303069840045823,0.000253403088292547,0.00018656337115228,0.000475746456244556
"Bacillales",5.26569220156836e-05,1.38219866341389e-05,3.10938951920467e-05,3.91604424494963e-05
"Bacteroidales",0.491351685635835,0.616564268782352,0.492405316099343,0.429627626527919
"Bifidobacteriales",0.0152810387689514,0.00122324581712129,0.00181420919255134,0.0278986400742567
"Burkholderiales",0.0130530658907767,0.000472251209999747,0.00110861695550105,0.00912173711489145
"Caulobacterales",0.000304239993868394,0.000119790550829204,0.000176996018785496,0.000256130461426435
"Clostridiales",0.345539402882206,0.233054820302655,0.216266412494005,0.224678804992639
"Coriobacteriales",0.00133339028081937,0.00113340290399939,0.00121505375058152,0.0039054603415849
"Desulfovibrionales",0.00128775428173911,0.000516020834341186,9.328168557614e-05,7.93792752354654e-05
"Enterobacteriales",0.00229408656914995,0.0182427186926244,0.0016611315546828,0.00888412848435329
"Erysipelotrichales",0.0156373506079242,0.0106659663526772,0.0126241214479709,0.00963399803774432
"Fusobacteriales",1.17015382257075e-05,2.76439732682778e-05,8.25184141635084e-05,0.00122244083862617
"Gemellales",2.22329226288442e-05,3.45549665853473e-05,5.14245189714618e-05,5.02735409824614e-05
"Lactobacillales",0.00375970423191981,0.00341403069863231,0.00700091009439389,0.0195077214866997
"Pasteurellales",0.00072198490852615,0.00240041834546213,0.00466288835976115,0.0123212511020489
"Pseudomonadales",0.000204776918949881,8.06282553658104e-05,0.000135138852180818,0.000107955814320233
"Rhizobiales",2.63284610078418e-05,1.38219866341389e-05,9.56735236678359e-06,3.01641245894768e-05
"Selenomonadales",0.082572489566616,0.0990184085825322,0.101955686415675,0.237387426957837
"Sphingomonadales",0.00502873605249778,0.00185444987341364,0.00348012442341753,0.00366785171104674
"unclassified",0.000146269227821343,0.000129005208585297,4.90326808797659e-05,0.000157170964966221
"Verrucomicrobiales",0.0187645866987445,0.00814575745638587,0.153021429673383,0.00910956562602201
"NA",0.00230344779973051,0.00262157013160835,0.00196848274946572,0.00183736562411691
