"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Acidaminococcaceae",50,979,14,6751,9,4,16743,14,4,3129,0,12460,44,4,0,3,0,0,2,10177,1,32,31,0,6,9,0,2,870,329,12601,1,37,477,1,1186,1,7065,36323,1,18,1,29,0,11,16,2772,0,394,19,1248,1,7,0,9504,6424,0
"Actinomycetaceae",46,1,6,31,19,10,1,6,17,12,2,18,55,74,12,11,31,82,11,20,5,6,4,15,51,27,12,0,24,0,8,5,24,22,18,5,62,4,2,10,7,0,1,258,71,2,5,113,8,1,12,42,36,3,8,27,11
"Bacteroidaceae",9829,30901,13280,9506,22609,24022,15016,4404,14669,12423,1502,27863,13566,9113,28150,90389,18452,8121,12883,5023,7745,182,2278,7478,8280,29037,25466,18660,2986,3185,14481,5418,11137,14271,20709,312,14000,13482,14627,9320,135,30,441,2122,48745,81572,23111,25371,3064,26430,4788,8612,23416,29144,14564,52355,6148
"Bifidobacteriaceae",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,47,0,7,57,191,229,13,6,28,9,443,143,369,26,207,267,6,105,4,26,90,70,10,156,32593,24,7710,4065,2915,1192,19,94,513,51,1838,917,53,274
"Bradyrhizobiaceae",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,0,2,0,0,4,0,1,0,1,0,0,2,0,0,0,4,0,9,0,1,0,1,0,12,5,0,0,5,3,3,5,4,2,2,1,0
"Carnobacteriaceae",22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,0,4,9,0,1,12,70,11,5,2,4,8,8,4,160,5,1,81,18,64,38,10,3,6,213,264,1,0,52,15,1,6,40,51,1,5,88,1
"Caulobacteraceae",2,6,18,41,13,34,4,65,11,0,39,183,9,5,9,16,61,3,1,18,4,1,25,1,3,23,4,12,25,4,20,7,7,39,7,0,32,3,39,12,9,5,8,1,37,51,8,0,21,11,8,57,43,20,67,44,8
"Christensenellaceae",17,66,21,121,210,38,1849,153,67,12,52,101,289,208,8,0,169,67,68,0,80,8,230,151,40,1,1,7,51,93,83,167,19,918,243,23,152,172,5,456,6,0,48,0,0,1,638,0,1,0,21,0,0,63,90,0,71
"Clostridiaceae",470,49,184,255,151,303,64,3184,106,268,3189,294,376,1096,173,5,477,625,679,16,56,8,866,415,187,24,16,10,127,598,2206,625,30,72,247,8,689,55,325,186,434,1,10,115,2884,250,15,90,53,10,7,76,234,148,289,261,209
"Comamonadaceae",0,2,10,19,13,37,4,52,7,1,8,258,12,8,11,6,77,1,2,19,12,0,25,0,2,6,4,10,16,16,8,11,4,30,6,2,16,10,47,5,8,0,7,1,42,46,11,1,13,15,13,50,42,23,18,16,2
