"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH027","AIH031","AIH040","AIH046","AIH058","AIH068","AIH018","AIH023","AIH033","AIH035","AIH043","AIH047","AIH052","AIH059","AIH069","AIH071","AIH072","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH020","AIH021","AIH022","AIH026","AIH029","AIH030","AIH032","AIH036","AIH037","AIH039","AIH042","AIH070","AIH074","AIH077"
"Actinomycetales",57,1,6,32,19,10,3,6,18,13,3,25,55,74,12,11,36,120,17,21,5,6,5,19,54,32,12,0,25,1,8,5,26,22,18,7,72,23,2,12,9,0,1,301,71,31,9,172,8,10,17,53,43,3,10,39,13
"Bacillales",2,5,1,21,2,0,3,23,2,0,9,6,1,1,3,3,4,2,2,5,1,0,0,0,0,1,2,0,0,0,7,7,1,6,0,2,28,0,0,0,0,2,0,12,6,6,2,1,0,2,0,0,13,0,0,2,0
"Bacteroidales",18729,57456,55751,34344,52755,57869,62220,21741,48636,15498,22503,45674,77733,37886,72507,93089,37206,9693,18517,54598,48095,14000,80006,36220,34726,33577,25528,33307,33896,43535,37013,30613,32077,44321,64699,33172,76005,27834,44940,40717,14797,83,37876,2125,50435,85508,30101,25567,43569,26951,97181,12196,35087,50465,29572,54696,26146
"Bifidobacteriales",1754,7,121,327,428,2,28,407,161,291,111,32,186,366,343,2,114,12773,8665,47,0,7,57,191,229,13,6,28,9,443,143,369,26,207,267,6,105,4,26,90,70,10,156,32593,24,7710,4065,2915,1192,19,94,513,51,1838,917,53,274
"Burkholderiales",469,18,103,131,7597,602,12,361,10130,15,68,1060,369,136,492,494,165,6,82,30,18,4,45,13,95,70,4,11,215,189,94,156,20,97,49,22,56,3036,419,83,253,5,34,2,218,206,1411,4144,34,23,906,62,1501,26,1414,1554,1850
"Caulobacterales",2,6,18,41,13,34,4,65,11,0,39,183,9,5,9,16,61,3,1,18,4,1,25,1,3,23,4,12,25,4,20,7,7,39,7,0,32,3,39,12,9,5,8,1,37,51,8,0,21,11,8,57,43,20,67,44,8
"Clostridiales",53132,15811,15615,37479,22750,18263,22129,47727,13960,42035,38309,34458,32342,44558,12360,5344,36315,60669,37332,8069,12489,2345,17997,26001,34266,34557,1111,1846,29554,16385,20470,17065,6477,25065,17690,10617,20770,11110,19675,47080,22162,34,7087,22091,24054,18012,6589,14977,29104,346,7546,5876,27797,41192,58335,28064,12666
"Coriobacteriales",348,16,89,306,114,18,59,7,6,401,54,51,536,59,24,4,15,60,112,219,10,2,57,20,184,24,1,3,60,83,719,5,5,35,80,1,84,35,46,21,30,1,10,1719,17,8,115,690,69,11,10,15,46,4107,255,71,20
"Desulfovibrionales",238,59,43,68,111,66,44,210,766,380,66,15,54,49,18,0,14,0,0,48,0,1,3,96,76,0,0,20,17,2,1,24,8,4,0,2,5,16,10,4,5,0,7,0,5,0,2,0,6,64,0,8,8,0,10,0,0
"Enterobacteriales",7,1800,26,8,35,0,7,30,1165,0,5,0,12,81,0,537,23,82,103,7848,10,3,8,6,44,136,36,567,9,3,160,8,35,107,22,306,19,903,8,0,198,1692,3,0,555,30,295,5683,12,4837,9,51,69,2353,0,39,32
