"","Pvalues","FDR"
"Prevotella",3.7364e-07,0.00011172
"Paraprevotella_clara",6.2726e-06,0.00074746
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_3",1.065e-05,0.00074746
"Bacteroidales_5",1.1906e-05,0.00074746
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",1.2499e-05,0.00074746
"Streptococcus_1",4.1621e-05,0.0019685
"Parabacteroides_goldsteinii",4.6086e-05,0.0019685
"Christensenella_minuta",6.072e-05,0.0022694
"Barnesiella_10",1e-04,0.0033223
"OTU516|NN=Prevotella_copri_AB064923|D=96_6_1",0.0001286,0.0038452
"Bacteria_5",0.00022193,0.0060325
"unclassified_39",0.00033346,0.0083087
"OTU117|NN=Clostridium_bolteae_AJ508452|D=90_7",0.00090706,0.020862
"Paraprevotella_clara_1",0.00098238,0.020981
"Oscillospira_4",0.0010578,0.021085
"Lachnospiraceae_7",0.0011591,0.02166
"Pasteurellaceae",0.0014891,0.026191
"Bacteroides_1",0.0017256,0.028665
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.0018421,0.028989
"Ruminococcus",0.0021779,0.030829
"Alistipes_indistinctus",0.0021816,0.030829
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0022684,0.030829
"OTU516|NN=Prevotella_copri_AB064923|D=96_6",0.0025242,0.032815
"OTU790|NN=Barnesiella_intestinihominis_AB370251|D=84_6",0.0034683,0.042019
"OTU1413|NN=Mesorhizobium_loti_RLU50164|D=82_1",0.0035133,0.042019
"OTU1678|NN=Veillonella_dispar_GQ422726|D=94_9",0.0039222,0.045105
