"","Pvalues","FDR","Statistics"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",4.3729e-06,0.00083522,581
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",1.6641e-05,0.0015892,603.5
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",3.9595e-05,0.0025209,577
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",0.00010443,0.0049867,582
"Dialister_pneumosintes",0.00016768,0.0060029,171
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00018857,0.0060029,582
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.00070082,0.012808,561
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.00077194,0.012808,557
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.00081784,0.012808,168
"Dorea_longicatena",0.00082466,0.012808,559
"Parabacteroides_goldsteinii",0.00093501,0.012808,547.5
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.00095284,0.012808,551
"Alistipes_indistinctus",0.00095479,0.012808,546
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.0010327,0.012808,547
"Streptococcus_anginosus",0.0010327,0.012808,175
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.0010729,0.012808,550.5
"Alistipes_obesi",0.0011859,0.013324,553
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.0020764,0.020212,540
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0021122,0.020212,532
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0021164,0.020212,537
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0023753,0.021604,541
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0026241,0.022782,513
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0033108,0.027494,499
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0043564,0.033424,511
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.0043749,0.033424,505
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.0057686,0.041183,522
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.0059111,0.041183,520
"Streptococcus_infantis",0.0060713,0.041183,198.5
"Lactococcus_lactis",0.0062529,0.041183,519.5
"Turicibacter_sanguinis",0.0065151,0.041479,522
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.0072236,0.043515,510.5
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.0072905,0.043515,520
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.0080331,0.046495,516
"Lactobacillus_salivarius",0.0083992,0.047184,512
"Holdemania_filiformis",0.0089989,0.049108,501.5
