"","Pvalues","FDR","healthy","nonAIHhepControl","LDAscore"
"Erysipelotrichales",0.00031692,0.0039573,143271.360936134,31006.8527166625,-4.75
"Desulfovibrionales",0.00034411,0.0039573,14123.8123083491,1031.91467597199,-3.82

