"Species","Pvalues","FDR","healthy","nonAIHhepControl","LDAscore"
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.002509,0.015833,3166.23913586629,939.107032348431,-3.05
"OTU857|NN=Eubacterium_sulci_AJ006963|D=90_2",0.0032038,0.018912,2018.13717317591,206.139483223082,-2.96
"Bacteroides_uniformis",0.0032385,0.018912,857300.554137243,216844.588431731,-5.51
"Lactococcus_lactis",0.003307,0.018912,2046.03083020039,810.563124704786,-2.79
"OTU798|NN=Oscillibacter_valericigenes_AB238598|D=90_1",0.0034483,0.019101,66485.5335981279,33580.3521970304,-4.22
"Lactobacillus_salivarius",0.0035487,0.019101,9098.34846338811,4812.27150959845,-3.33
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0038151,0.019947,1126.23464855279,275.728378366414,-2.63
"OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95_6",0.004619,0.02348,12038.277918151,5008.12621661438,-3.55
"OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94_3",0.0048373,0.023925,171584.273131193,85122.7324488439,-4.64
"Parasutterella_excrementihominis",0.0050119,0.024136,109040.606553724,12048.153152908,-4.69
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0054291,0.025074,2362.41948850397,1530.87215857255,-2.62
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0054806,0.025074,889.075188134286,379.784329137069,-2.41
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.006044,0.026629,9082.36468376495,1460.49374446128,-3.58
"OTU60|NN=Ruminococcus_bromii_DQ882649|D=89_6",0.0061116,0.026629,3655.80851044979,559.192171073184,-3.19
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.0064846,0.027597,52184.7733644471,15470.2605209619,-4.26
"OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90_6",0.0071944,0.029922,2773.18615008375,1457.2780567701,-2.82
"OTU1087|NN=Blautia_glucerasea_AB588023|D=93",0.0085872,0.03409,8047.83255437297,15655.4836308162,3.58
"OTU867|NN=Christensenella_minuta_AB490809|D=91_9",0.0087461,0.03409,2257.37929622329,1487.51002635905,-2.59
"Shigella_sonnei",0.0087553,0.03409,4691.98695490629,126253.053272839,4.78
"Fusicatenibacter_saccharivorans",0.0094889,0.036069,38752.8836712354,10269.8981389774,-4.15
"OTU18|NN=Ruminococcus_bromii_DQ882649|D=88_1",0.0096577,0.036069,3099.56159022293,2606.62647810045,-2.39
"OTU1689|NN=Soleaferrea_massiliensis_JX101688|D=88_9",0.010843,0.039687,5187.43260112862,1362.17903189509,-3.28
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",0.011222,0.040268,10089.2339409352,13125.228883234,3.18
"OTU255|NN=Anoxystipes_fissicatena_NR_104800_1|D=94_9",0.011702,0.041119,2188.49861000557,949.305771044265,-2.79
"OTU93|NN=Ruminococcus_bromii_DQ882649|D=96_3",0.011909,0.041119,279475.569476309,178872.040801477,-4.7
"OTU175|NN=Roseburia_hominis_AB661434|D=94_3",0.012369,0.041803,7248.24219846422,3335.66213595021,-3.29
"OTU160|NN=Intestinimonas_butyriciproducens_JX101685_1|D=91_4",0.012564,0.041803,47228.2670436924,12359.3231990879,-4.24
"OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92_5",0.012914,0.042166,66571.8597039569,31378.8339705111,-4.25
"Ruminococcus_callidus",0.013134,0.042166,34097.7871111349,4639.49486928639,-4.17
