"","Pvalues","FDR","healthy","nonAIHhepControl","LDAscore"
"unclassified_39",3.4181e-06,0.00039081,1426.21165978914,5.33037390973865,-2.85
"Clostridiales_54",3.9879e-06,0.00039081,703.255096759299,0,-2.55
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89_2",3.9879e-06,0.00039081,2932.85966684492,0,-3.17
"Lachnospiraceae_7",1.0214e-05,0.00059866,1668.98245844159,4.16020102091333,-2.92
"Oscillospira_4",1.2218e-05,0.00059866,1171.64008991976,0,-2.77
"Firmicutes_11",1.2218e-05,0.00059866,2843.73902222167,0,-3.15
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",1.6761e-05,0.00070395,97477.8880439605,1461.19637180975,-4.68
"Bacteroidales_5",3.3354e-05,0.0012257,4259.67680355296,5.33037390973865,-3.33
"unclassified_38",3.8148e-05,0.0012462,654.939455282974,8.34515563715263,-2.51
"Barnesiella_10",4.3591e-05,0.0012816,1906.91859641996,18.3786028953651,-2.98
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",5.033e-05,0.0013299,8687.62363816919,501.128937172658,-3.61
"Dorea_longicatena",5.428e-05,0.0013299,35668.5762719638,1431.76087371021,-4.23
"Lachnoclostridium_1",7.8037e-05,0.0017648,6729.61420815087,2547.98323500868,-3.32
"unclassified_4",9.9806e-05,0.0020959,3810.76037344036,415.572803753648,-3.23
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00011977,0.0023475,28028.5523757899,4052.00787354617,-4.08
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",0.00014731,0.002552,2386.76738551939,712.986107880379,-2.92
"Bacteria_5",0.00014757,0.002552,1138.26274771233,29.6804161581044,-2.74
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.00015972,0.0026088,13581.6401282055,92.5253023443382,-3.83
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.00025016,0.0038709,17339.13824405,3552.90687012701,-3.84
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.00028179,0.0041424,67757.9777193123,11074.4714127703,-4.45
"Dialister_pneumosintes",0.00030264,0.004237,0,38506.1864853904,4.28
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.00031736,0.0042411,9433.95621375269,2467.51367978522,-3.54
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.00035771,0.0045725,17698.2278866143,1563.99681432696,-3.91
"Parabacteroides_goldsteinii",0.00038218,0.0046817,11639.9899543165,809.418056360348,-3.73
"Lachnospiraceae_12",0.00044357,0.0052164,522.222687167147,22.9909898310852,-2.4
"Turicibacter_sanguinis",0.00048921,0.0055319,127734.100407221,24941.0263774874,-4.71
"Clostridiales_20",0.00051722,0.005632,1226.744143731,24.8149160845368,-2.78
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.00055464,0.0058238,2877.52544646255,1270.58248554631,-2.91
"unclassified_3",0.00064155,0.006504,19796.8748286502,1489.75063430493,-3.96
"Clostridiales_2",0.00069231,0.0067846,1136.07727978491,335.973399897641,-2.6
"unclassified_19",0.00073007,0.0069239,834.843507740137,73.2799161608492,-2.58
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.00081529,0.0074904,3199.9402772423,565.868324159056,-3.12
"Barnesiella_intestinihominis_1",0.00096978,0.0084097,504669.297381494,43202.8054947962,-5.36
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.00097255,0.0084097,283400.788745873,399974.438138214,4.77
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0011652,0.0097874,114533.047429443,1284769.82667521,5.77
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0012095,0.0098778,4525.7171465745,200.867446298163,-3.34
