"","log2FC","lfcSE","Pvalues","FDR"
"Shigella_sonnei",5.417,0.83365,8.1406e-11,2.434e-08
"Clostridiales_23",-5.8454,1.1637,5.0869e-07,7.605e-05
"OTU126|NN=Alistipes_marseilloanorexicus_JX101692|D=90_9",5.1333,1.1301,5.5596e-06,0.00055411
"Bacteroides_plebeius",-4.7804,1.1119,1.7122e-05,0.0012799
"Veillonella_rogosae",3.8604,0.92479,2.9886e-05,0.0017872
"Streptococcus",2.6503,0.64934,4.4732e-05,0.0022291
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",-4.2486,1.1319,0.00017432,0.0065359
"Dialister_pneumosintes",4.1859,1.1154,0.00017487,0.0065359
"OTU80|NN=Eubacterium_desmolans_EUBRRDO|D=94_1",-3.3109,0.89414,0.00021316,0.0070817
"Bacteroides_6",2.4053,0.70459,0.00064072,0.018509
"OTU379|NN=Dialister_succinatiphilus_AB370249|D=96_3",-4.3921,1.2929,0.00068092,0.018509
"OTU1028|NN=Ruminococcus_gnavus_JN713312|D=95_6",-2.9842,0.91005,0.0010411,0.024255
"Faecalibacterium",-2.5806,0.78784,0.0010546,0.024255
"Bacteroidales_5",-3.5815,1.1061,0.0012042,0.02516
"Ruminococcus_callidus",-3.4783,1.0803,0.0012835,0.02516
"Alistipes_putredinis",-2.6926,0.83989,0.0013464,0.02516
"Oscillospira_plautii",2.2711,0.71243,0.0014337,0.025216
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",-2.8122,0.9099,0.0019972,0.031748
"Lachnospiraceae_7",-3.0705,0.99443,0.0020175,0.031748
"Clostridiales",-1.9638,0.66071,0.0029568,0.044205
"Butyricimonas_virosa",-2.9179,0.98699,0.0031128,0.044321
