"","log2FC","lfcSE","Pvalues","FDR"
"Veillonella",5.1543,0.72825,1.4657e-12,9.8199e-11
"Shigella",4.3745,0.84122,1.9909e-07,6.5364e-06
"Streptococcus",3.1351,0.61137,2.9268e-07,6.5364e-06
"Haemophilus",3.9829,0.81921,1.1631e-06,1.9482e-05
"Megasphaera",5.4152,1.1367,1.8977e-06,2.5429e-05
"Prevotella",4.1747,0.88327,2.2858e-06,2.5525e-05
"Fusobacterium",4.1856,1.0564,7.4267e-05,0.00071084
"Fusicatenibacter",-2.3343,0.62475,0.00018676,0.0015641
"Rothia",2.3558,0.74219,0.001503,0.011189
"Candidatus_Soleaferrea",-2.4742,0.8231,0.0026477,0.01774
