"","Pvalues","FDR","Statistics"
"Deltaproteobacteria",0.00090354,0.011746,14.018
"Erysipelotrichia",0.0027175,0.017664,11.816
"Gammaproteobacteria",0.013106,0.044312,8.6693
"Negativicutes",0.016292,0.044312,8.2342
"Clostridia",0.017043,0.044312,8.144

