"","Pvalues","FDR","Statistics"
"Turicibacter",0.0010187,0.029211,13.778
"Barnesiella",0.0010361,0.029211,13.745
"Dorea",0.0013278,0.029211,13.248
"Oscillibacter",0.0019226,0.031722,12.508
"Veillonella",0.0034543,0.045596,11.336
"Ruminococcus",0.0042884,0.047172,10.904
"Gemmiger",0.0051058,0.04814,10.555
