"","Pvalues","FDR","Statistics"
"OTU1337|NN=Desulfovibrio_desulfuricans_DVURRDA|D=89",1.2991e-05,0.0024423,22.502
"OTU1033|NN=Ruminococcus_bromii_DQ882649|D=88",6.3889e-05,0.0036451,19.317
"OTU506|NN=Christensenella_minuta_AB490809|D=83_8",7.4133e-05,0.0036451,19.019
"Dorea_longicatena",7.7554e-05,0.0036451,18.929
"OTU916|NN=Eubacterium_siraeum_EUBRRDV|D=93_2",0.00016215,0.006097,17.454
"OTU661|NN=Blautia_wexlerae_EF036467|D=94_9",0.00027168,0.0085127,16.422
"Alistipes_putredinis",0.0003561,0.0095638,15.881
"OTU169|NN=Faecalibacterium_prausnitzii_X85022|D=96_7",0.00040698,0.009564,15.614
"OTU902|NN=Prevotella_loescheii_AB547688|D=88_8",0.00051012,0.010656,15.162
"OTU342|NN=Clostridium_clariflavum_NR_102987_1|D=77_3",0.00064653,0.011219,14.688
"Parabacteroides_goldsteinii",0.00065644,0.011219,14.657
"Dialister_pneumosintes",0.00072754,0.011398,14.452
"Turicibacter_sanguinis",0.0010187,0.014034,13.778
"OTU694|NN=Clostridium_clariflavum_NR_102987_1|D=85_2",0.0011059,0.014034,13.614
"OTU1339|NN=Clostridium_clariflavum_NR_102987_1|D=76_8",0.0011197,0.014034,13.589
"Barnesiella_intestinihominis",0.0016327,0.019185,12.835
"OTU1358|NN=Oscillibacter_valericigenes_AB238598|D=91_3",0.0021449,0.023476,12.289
"OTU1335|NN=Oscillibacter_valericigenes_AB238598|D=95_6",0.0022477,0.023476,12.196
"OTU84|NN=Robinsoniella_peoriensis_AF445258|D=93_1",0.0026966,0.025521,11.832
"Alistipes_obesi",0.0027859,0.025521,11.766
"Alistipes_indistinctus",0.0028507,0.025521,11.72
"OTU1482|NN=Veillonella_atypica_X84007|D=96_9",0.0034543,0.02831,11.336
"OTU471|NN=Clostridium_lituseburense_CLORR16SC|D=96_6",0.0034634,0.02831,11.331
"OTU767|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_6",0.004085,0.031491,11.001
"OTU383|NN=Clostridium_populeti_X71853|D=91_5",0.0041876,0.031491,10.951
"Streptococcus_anginosus",0.0055759,0.039427,10.379
"OTU119|NN=Papillibacter_cinnamivorans_AF167711|D=91_1",0.0056624,0.039427,10.348
"OTU286|NN=Ruminococcus_bromii_DQ882649|D=96_6",0.0062069,0.04073,10.164
"OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95_3",0.0062828,0.04073,10.14
"OTU293|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=91_2",0.0067549,0.041068,9.995
"OTU1240|NN=OscillospiraClostridium_viride_X81125|D=86",0.0067718,0.041068,9.99
"OTU521|NN=Papillibacter_cinnamivorans_AF167711|D=89_6",0.0070874,0.041638,9.8989
"Bacteroides_uniformis",0.0075636,0.04309,9.7688
"OTU1683|NN=Ruminococcus_bromii_DQ882649|D=90",0.0080457,0.044099,9.6452
"OTU1147|NN=Clostridium_glycolicum_AY007244|D=96_3",0.0083705,0.044099,9.5661
"OTU957|NN=Anoxystipes_fissicatena_NR_104800_1|D=93_2",0.0084445,0.044099,9.5485
"Lactococcus_lactis",0.0090564,0.046016,9.4086
