"","Pvalues","FDR","Statistics"
"Desulfovibrionaceae",0.00090354,0.032074,14.018
"Oscillospiraceae",0.0019226,0.032074,12.508
"Erysipelotrichaceae",0.0027175,0.032074,11.816
"Prevotellaceae",0.0032896,0.032074,11.434
"unclassified",0.0056093,0.043752,10.367
